SRR3731880,248,172,176,250,249,171,251,167,245,171,170,183,0,92,183,135,200,200,0,187,256,256,255,254,255,259,256,258,260,259,256,254,250,10125,21290
SRR3731887,269,193,197,271,270,192,272,188,265,192,191,204,185,109,204,157,221,221,187,0,278,278,277,276,277,281,278,280,282,281,278,275,271,10134,21312
16870_2#3,91,254,259,93,92,254,94,250,83,254,253,258,254,128,258,227,284,284,256,278,0,4,3,2,16,19,4,6,20,19,40,93,157,10069,21146
16870_2#4,91,254,259,93,92,254,94,250,83,254,253,258,254,128,258,227,284,284,256,278,4,0,3,2,16,19,4,6,20,19,40,93,157,10075,21157
16870_2#5,90,253,258,92,91,253,93,249,82,253,252,257,253,126,257,226,283,283,255,277,3,3,0,1,15,18,3,5,18,18,39,92,156,10074,21155
16870_2#8,89,252,257,91,90,252,92,248,81,252,251,256,252,128,256,225,282,282,254,276,2,2,1,0,14,17,2,4,18,17,38,91,155,10073,21139
16870_2#9,91,253,258,93,92,253,94,249,83,253,252,257,253,127,257,226,283,283,255,277,16,16,15,14,0,19,16,18,20,19,40,93,157,10069,21149
16870_2#16,94,257,262,96,95,257,97,253,86,257,256,261,257,131,261,230,287,287,259,281,19,19,18,17,19,0,19,21,23,22,43,96,160,10075,21157
16870_2#19,91,254,259,93,92,254,94,250,83,254,253,258,254,128,258,227,284,284,256,278,4,4,3,2,16,19,0,6,20,19,40,93,157,10066,21148
16870_2#20,93,256,261,95,94,256,96,252,85,256,255,260,256,130,260,229,285,285,258,280,6,6,5,4,18,21,6,0,22,21,42,95,159,10069,21154
16870_2#27,95,258,263,97,96,258,98,254,87,258,257,262,258,132,262,231,288,288,260,282,20,20,18,18,20,23,20,22,0,23,44,97,161,10076,21151
17059_1#78,94,257,262,96,95,257,97,253,86,257,256,260,257,131,260,230,287,287,259,281,19,19,18,17,19,22,19,21,23,0,43,96,160,10080,21168
18090_5#10,91,254,259,93,92,254,94,250,83,254,253,258,254,130,258,227,284,284,256,278,40,40,39,38,40,43,40,42,44,43,0,93,157,10085,21162
SRR2054033,88,251,256,90,89,251,91,247,79,251,250,255,252,125,255,224,282,282,254,275,93,93,92,91,93,96,93,95,97,96,93,0,154,10092,21157
ERR1040773,148,247,252,150,149,247,151,243,143,247,246,251,248,121,251,220,278,278,250,271,157,157,156,155,157,160,157,159,161,160,157,154,0,10108,21241
14623_5#14,10108,10130,10130,10113,10094,10122,10117,10122,10087,10113,10111,10095,10128,5110,10128,10091,10054,10056,10125,10134,10069,10075,10074,10073,10069,10075,10066,10069,10076,10080,10085,10092,10108,0,21561
EMRSA15,21213,21237,21230,21207,21192,21234,21226,21220,21188,21174,21190,21242,21289,9297,21299,21247,21209,21213,21290,21312,21146,21157,21155,21139,21149,21157,21148,21154,21151,21168,21162,21157,21241,21561,0
