ERR1040735,87,89,206,137,264,276,278,271,302,273,277,275,280,277,280,280,276,277,280,280,275,277,275,274,273,265,0,185,203,200,90,210,63,87,92,180,12131,21649
ERR1040754,180,182,199,131,256,268,270,263,294,265,270,268,273,270,273,273,269,270,273,274,268,270,267,266,265,256,185,0,198,195,181,205,182,178,183,176,12102,21565
ERR1040784,198,200,170,149,277,289,291,284,315,287,291,289,294,291,294,294,290,291,294,294,289,291,289,288,286,278,203,198,0,9,199,85,200,196,197,194,12140,21660
ERR1040903,195,197,167,146,274,286,288,281,312,284,288,286,291,288,291,291,287,288,291,291,286,288,286,285,283,275,200,195,9,0,196,82,197,193,198,190,12145,21659
ERR1040935,85,87,203,133,260,272,274,267,298,269,273,271,276,273,276,276,272,273,276,276,271,273,271,270,269,261,90,181,199,196,0,206,87,5,87,176,12129,21658
ERR1040998,205,207,177,157,283,295,297,290,321,293,297,295,300,297,300,300,296,297,300,300,295,297,295,294,292,284,210,205,85,82,206,0,207,203,208,201,12134,21658
ERR1041003,84,86,203,133,261,273,275,268,299,270,274,272,277,274,277,277,273,274,277,277,272,274,272,271,270,262,63,182,200,197,87,207,0,84,87,178,12104,21604
ERR1041082,82,84,200,129,256,268,270,263,294,265,269,267,272,269,272,272,268,269,272,272,267,269,267,266,265,257,87,178,196,193,5,203,84,0,85,174,12111,21601
ERR1041142,87,89,204,126,262,274,276,269,300,271,275,273,278,274,278,278,274,275,272,278,273,275,273,272,270,262,92,183,197,198,87,208,87,85,0,174,12118,21606
13415_3#8,174,176,201,127,252,266,266,259,290,261,266,266,271,264,270,271,267,267,271,270,265,266,266,265,259,251,180,176,194,190,176,201,178,174,174,0,12065,21382
SRR3728626,12099,12097,12028,5880,12097,12096,12095,12115,12153,12101,12115,12114,12129,12089,12123,12119,12098,12129,12118,12126,12127,12118,12126,12104,12092,12081,12131,12102,12140,12145,12129,12134,12104,12111,12118,12065,0,21842
EMRSA15,21606,21599,21230,15470,21615,21664,21609,21633,21699,21631,21652,21640,21630,21587,21632,21622,21627,21660,21618,21628,21663,21644,21662,21629,21599,21589,21649,21565,21660,21659,21658,21658,21604,21601,21606,21382,21842,0
