sampleId	Assembly	# contigs (>= 0 bp)	# contigs (>= 1000 bp)	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 0 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	N50	N75	L50	L75	# N's per 100 kbp
10770_3#15	10770_3#15.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	31	31	28	26	21	17	2820043	2820043	2812569	2794629	2723764	2580968	31	343425	2820043	174034	108953	6	11	0.99
10770_3#16	10770_3#16.spades.improved.quast.csv-10770_3_16.spades.improved	34	29	24	23	20	16	2831917	2828850	2817758	2809317	2749558	2600820	33	406710	2831577	178092	125448	6	10	0.07
10770_3#17	10770_3#17.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	31	31	28	25	22	14	2819635	2819635	2812176	2787368	2739082	2425558	31	647369	2819635	150554	101698	5	10	0.82
10770_3#19	10770_3#19.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	36	33	30	27	23	16	2819777	2818032	2810030	2786773	2706104	2434709	35	403936	2819420	150701	100929	6	12	0.64
10770_3#23	10770_3#23.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	36	33	30	29	27	18	2819776	2818456	2810399	2801874	2769122	2409519	34	403583	2819062	128520	67705	7	14	0.74
10770_3#24	10770_3#24.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	31	30	27	25	23	16	2819706	2819323	2811719	2795910	2760601	2512102	30	403905	2819323	164340	108098	6	11	0.74
10770_3#25	10770_3#25.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	31	31	28	26	24	16	2819824	2819824	2812340	2795986	2771231	2424293	31	403593	2819824	150834	67712	6	11	0.92
10770_3#27	10770_3#27.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	31	29	27	26	25	13	2818596	2817476	2811923	2803397	2791625	2364345	30	403762	2818250	215318	101021	5	10	0.67
10770_3#29	10770_3#29.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	34	33	30	29	27	17	2817964	2817531	2810100	2804881	2771767	2393251	33	403642	2817531	150642	67682	6	13	0.67
10770_3#30	10770_3#30.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	30	30	27	26	22	18	2819441	2819441	2811359	2801813	2728451	2582643	30	403833	2819441	150609	100929	6	12	0.78
10770_3#31	10770_3#31.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	35	33	30	28	24	14	2818402	2817428	2810867	2797093	2724797	2376113	34	403621	2818056	251711	108559	5	10	0.53
10770_3#32	10770_3#32.spades.improved.quast.csv-10770_3_32.spades.improved	36	29	24	21	19	14	2829549	2825208	2811276	2786056	2739080	2545165	33	529603	2828394	174008	121435	5	9	0.00
10770_3#33	10770_3#33.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	31	31	28	27	24	17	2820244	2820244	2812832	2807588	2751183	2493018	31	403960	2820244	150569	86842	6	12	0.64
10770_3#35	10770_3#35.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	32	32	29	29	26	13	2818501	2818501	2811098	2811098	2754431	2241003	32	482823	2818501	146480	73672	6	12	0.64
10770_3#37	10770_3#37.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	33	32	29	28	26	16	2820285	2819972	2812551	2804022	2771177	2372985	32	403953	2819972	150680	78587	6	12	0.78
10770_3#38	10770_3#38.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	31	31	28	26	22	15	2818675	2818675	2811248	2793205	2712471	2437801	31	570837	2818675	175880	75745	4	10	0.67
10770_3#39	10770_3#39.spades.improved.quast.csv-10770_3_39.spades.improved	28	23	21	21	21	16	2831420	2828577	2822261	2822261	2822261	2642283	25	408494	2830223	175580	125463	5	10	0.11
10770_3#40	10770_3#40.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	33	33	31	29	28	17	2821499	2821499	2817708	2804053	2792281	2357225	33	282483	2821499	150697	67712	7	14	0.78
10770_3#41	10770_3#41.spades.improved.quast.csv-10770_3_41.spades.improved	33	30	25	23	21	15	2832089	2830197	2816075	2799326	2760841	2546732	32	406920	2831644	190568	108306	5	10	0.00
10770_3#42	10770_3#42.spades.improved.quast.csv-10770_3_42.spades.improved	33	30	27	26	25	19	2830971	2828786	2820066	2811791	2798776	2585009	32	406753	2830634	170592	86995	6	12	0.00
10770_3#43	10770_3#43.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	32	31	28	28	25	16	2817970	2817500	2810021	2810021	2752489	2408805	31	403600	2817500	150710	71559	6	12	0.71
10770_3#44	10770_3#44.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	30	29	26	26	24	17	2819852	2819382	2811904	2811904	2779059	2506347	29	403630	2819382	150766	100929	6	12	0.64
10770_3#45	10770_3#45.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	32	29	26	25	23	15	2818040	2816874	2810318	2805138	2772293	2488686	29	403363	2816874	170692	107994	5	10	0.60
10770_3#46	10770_3#46.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	29	28	25	25	21	14	2819621	2818745	2812169	2812169	2731501	2469245	29	403546	2819621	260756	101271	5	10	0.53
10770_3#47	10770_3#47.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	31	28	26	25	23	17	2818857	2817219	2811242	2805999	2772850	2542453	29	403754	2818171	150597	100929	6	11	0.71
10770_3#48	10770_3#48.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	34	32	29	27	25	18	2818015	2816670	2809209	2795504	2758526	2484351	33	343161	2817650	146068	73423	7	13	0.60
10770_3#49	10770_3#49.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	33	31	28	26	24	17	2820225	2819135	2811694	2797998	2765153	2501070	32	385611	2819755	150689	100929	7	12	0.78
10770_3#50	10770_3#50.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	36	31	28	27	24	16	2813013	2810784	2803289	2794768	2746048	2456891	33	395666	2811813	150839	108065	6	11	0.78
10770_3#51	10770_3#51.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	35	32	28	28	25	16	2819751	2818096	2808657	2808657	2751220	2426679	34	404020	2819345	150710	100929	6	12	0.82
10770_3#52	10770_3#52.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	32	31	27	27	24	19	2810147	2809801	2798272	2798272	2749574	2577735	31	395227	2809801	145911	86837	6	13	0.75
10770_3#53	10770_3#53.spades.improved.quast.csv-10770_3_53.spades.improved	31	29	25	22	20	14	2830196	2828579	2816234	2790653	2742980	2512488	31	406505	2830196	210491	125443	5	10	0.00
10770_3#55	10770_3#55.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	37	35	32	28	25	15	2810519	2809036	2801623	2770459	2728919	2364628	37	395299	2810519	150793	70361	6	12	0.75
10770_3#56	10770_3#56.spades.improved.quast.csv-10770_3_56.spades.improved	33	28	24	22	21	17	2822250	2818919	2806741	2790013	2765906	2610106	32	398282	2821812	173974	108279	6	11	0.00
10770_3#57	10770_3#57.spades.improved.quast.csv-10770_3_57.spades.improved	31	27	23	22	20	15	2781180	2778459	2766303	2758514	2709625	2510898	30	398412	2780736	209952	123170	5	10	2.27
10770_3#58	10770_3#58.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	35	33	30	29	26	16	2809841	2808990	2800699	2792174	2735801	2335875	34	395252	2809500	125429	67646	6	13	0.61
10770_3#60	10770_3#60.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	34	33	30	28	25	18	2811862	2811246	2803207	2790206	2741900	2468217	34	395455	2811862	125539	86898	6	13	0.75
10770_3#61	10770_3#61.spades.improved.quast.csv-10770_3_61.spades.improved	36	30	26	24	23	15	2822337	2818355	2809585	2792240	2768679	2451136	34	398213	2821395	174035	111757	6	11	0.00
10770_3#62	10770_3#62.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	33	32	29	27	24	15	2810500	2809808	2802428	2785185	2735998	2400718	33	385441	2810500	159376	100929	6	12	0.68
10770_3#63	10770_3#63.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	35	32	28	28	26	15	2818553	2817197	2808371	2808371	2760383	2363045	33	416004	2817746	150601	86883	6	12	0.67
10770_3#64	10770_3#64.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	32	31	28	27	24	16	2811404	2811021	2803552	2795031	2737317	2416608	31	385443	2811021	145962	101200	7	12	0.75
10770_3#65	10770_3#65.spades.improved.quast.csv-10770_3_65.spades.improved	35	31	26	24	22	17	2823419	2820398	2806307	2789566	2740647	2551806	35	398729	2823419	170591	107614	6	11	0.04
10770_3#66	10770_3#66.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	33	31	28	28	25	17	2817595	2816525	2809120	2809120	2760387	2476778	32	403511	2817137	150581	100929	6	12	0.64
10770_3#67	10770_3#67.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	34	34	30	28	24	17	2809715	2809715	2797383	2779290	2698564	2429171	34	385459	2809715	159193	86844	6	13	0.61
10770_3#68	10770_3#68.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	36	32	29	28	25	17	2810140	2807765	2800371	2791920	2735548	2440473	34	395227	2809248	146756	92218	7	13	0.68
10770_3#69	10770_3#69.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	33	32	29	28	25	16	2810281	2809922	2802501	2793970	2737559	2383974	32	395558	2809922	125530	100929	6	12	0.75
10770_3#70	10770_3#70.spades.improved.quast.csv-10770_3_70.spades.improved	34	29	25	23	20	15	2826481	2823691	2814551	2797572	2733649	2539874	33	406271	2826032	173970	125455	6	10	0.00
10770_3#71	10770_3#71.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	33	31	28	27	23	17	2816011	2814314	2808119	2799597	2722892	2482224	33	403487	2816011	150570	100929	6	12	0.64
10770_3#72	10770_3#72.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	36	34	32	30	25	19	2817164	2816238	2812014	2795668	2715167	2490725	35	403614	2816782	147816	86958	7	13	0.53
10770_3#73	10770_3#73.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	38	38	34	31	25	16	2818016	2818016	2812056	2790468	2692562	2349146	38	385417	2818016	150574	67661	6	13	0.82
10770_3#74	10770_3#74.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	32	31	29	28	24	14	2820047	2819736	2814441	2805907	2720084	2353315	31	415935	2819736	150703	100929	6	12	0.60
10770_3#76	10770_3#76.spades.improved.quast.csv-10770_3_76.spades.improved	31	26	24	23	19	15	2829280	2826012	2820916	2813086	2724247	2574942	29	406329	2828453	190974	146518	6	10	0.07
10770_3#79	10770_3#79.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	33	33	31	30	26	15	2817037	2817037	2812800	2804276	2731614	2322758	33	407458	2817037	172349	73383	6	12	0.67
10770_3#80	10770_3#80.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	37	33	32	31	25	17	2815597	2812276	2810357	2801824	2700137	2387409	37	403412	2815597	150763	70278	7	13	0.85
10770_3#81	10770_3#81.spades.improved.quast.csv-10770_3_81.spades.improved	31	29	26	24	20	15	2828824	2827248	2818768	2802517	2724429	2549762	31	406792	2828824	179378	125453	5	10	0.04
10770_3#82	10770_3#82.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	33	31	29	27	22	15	2816177	2814380	2811459	2793388	2711676	2456746	33	403693	2816177	150545	108144	6	11	0.71
10770_3#83	10770_3#83.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	27	27	25	25	22	18	2817260	2817260	2813029	2813029	2761435	2610426	27	386502	2817260	150712	108056	7	12	0.75
10770_3#84	10770_3#84.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	30	26	25	24	21	17	2817942	2815262	2813354	2803908	2751885	2608606	29	403497	2817596	179353	100929	5	11	0.57
10770_3#85	10770_3#85.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	33	31	29	28	23	17	2816594	2815044	2812070	2803550	2713996	2469938	33	403528	2816594	174714	86950	7	12	0.75
10770_3#89	10770_3#89.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	30	28	23	23	21	12	2817831	2816883	2807370	2807370	2774490	2446500	29	578733	2817531	229420	108593	4	8	0.78
10770_3#90	10770_3#90.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	28	28	26	26	22	16	2817338	2817338	2813096	2813096	2739995	2512774	28	403583	2817338	179373	108187	6	11	0.64
10770_3#91	10770_3#91.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	32	31	27	26	25	17	2819125	2818654	2808384	2803202	2791429	2501944	31	403855	2818654	146268	101017	6	12	0.64
10770_3#92	10770_3#92.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	31	31	29	28	24	17	2817474	2817474	2812906	2804377	2731747	2460294	31	403422	2817474	176261	75713	6	12	0.75
10770_3#93	10770_3#93.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	32	30	28	28	25	18	2817701	2816792	2812552	2812552	2761341	2498890	31	403598	2817336	169035	86959	7	12	0.53
10770_3#94	10770_3#94.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	30	29	27	26	22	17	2816660	2815973	2811731	2803216	2730551	2543705	30	403393	2816660	150652	108036	7	12	0.57
10770_3#95	10770_3#95.spades.improved.quast.csv-10770_3_95.spades.improved	32	28	27	24	20	16	2829370	2827089	2824619	2802139	2713305	2564019	30	406323	2828547	190689	125442	6	11	0.07
10770_4#57	10770_4#57.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	35	33	29	27	26	16	2819338	2817783	2808777	2792437	2779475	2376095	35	442083	2819338	169501	73416	5	12	0.67
10770_4#58	10770_4#58.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	29	26	22	22	21	16	2820355	2818819	2810199	2810199	2798427	2611083	27	403697	2819532	186683	124118	5	10	0.74
10770_4#59	10770_4#59.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	32	31	28	27	23	15	2818490	2818107	2810152	2801627	2724792	2407610	31	404185	2818107	209795	75597	5	11	0.67
10770_4#60	10770_4#60.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	30	29	25	25	23	17	2819343	2818843	2808938	2808938	2776093	2548311	30	403524	2819343	150716	113219	6	11	0.82
10770_4#61	10770_4#61.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	33	30	26	26	24	17	2817586	2815552	2806968	2806968	2774157	2509237	32	404113	2817128	169630	86907	6	11	0.85
10770_4#62	10770_4#62.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	33	30	26	25	25	17	2820128	2818585	2808634	2803087	2803087	2507262	32	403576	2819821	150705	88333	6	12	0.71
10770_4#63	10770_4#63.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	29	29	25	25	24	17	2818612	2818612	2808882	2808882	2787774	2524082	29	403776	2818612	150709	100928	6	11	0.82
10770_4#64	10770_4#64.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	31	28	24	24	22	17	2820188	2818743	2809025	2809025	2776117	2588491	29	444001	2819409	150707	108037	6	11	0.64
10770_4#67	10770_4#67.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	26	24	20	20	19	14	2820363	2819750	2810048	2810048	2788975	2601574	24	475403	2819750	251946	125439	4	9	0.71
10770_4#68	10770_4#68.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	31	29	25	25	22	14	2818549	2817665	2809084	2809084	2752750	2462062	30	411394	2818203	174000	86910	5	10	1.10
10770_4#69	10770_4#69.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	31	28	25	24	21	15	2819523	2818227	2810691	2805512	2749034	2520244	29	403639	2818764	169626	108285	6	11	0.78
10770_4#70	10770_4#70.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	29	27	23	23	21	16	2817968	2816707	2808156	2808156	2775311	2588513	29	403660	2817968	174034	124521	5	10	0.78
10770_4#71	10770_4#71.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	31	29	25	24	22	16	2819777	2818923	2808929	2803733	2770888	2544680	29	404030	2818923	229422	108285	5	10	0.71
10770_4#74	10770_4#74.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	29	26	22	22	21	17	2818538	2817068	2808725	2808725	2796953	2647594	28	409139	2818192	169615	125449	5	10	0.75
10770_4#75	10770_4#75.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	31	28	24	24	22	16	2818912	2817691	2809116	2809116	2776236	2553855	29	403607	2818227	169630	108089	6	11	0.78
10770_4#95	10770_4#95.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	31	28	27	26	22	16	2816844	2814785	2812868	2803395	2732579	2502755	30	403268	2816438	169092	109167	6	11	0.57
10770_4#96	10770_4#96.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	28	27	25	25	22	17	2818026	2817723	2813479	2813479	2757646	2579476	27	403357	2817723	174714	124186	6	11	0.71
10770_5#10	10770_5#10.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	30	30	28	27	23	18	2818003	2818003	2813786	2808587	2740966	2552317	30	403439	2818003	169050	100929	7	13	0.67
10770_5#11	10770_5#11.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	25	25	23	23	21	17	2818240	2818240	2814002	2814002	2783864	2633332	25	403268	2818240	175831	125445	6	11	0.64
10770_5#12	10770_5#12.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	28	28	27	27	24	18	2818591	2818591	2816274	2816274	2765046	2541601	28	403425	2818591	147259	100990	7	12	0.67
10770_5#13	10770_5#13.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	31	27	26	26	23	15	2816854	2814812	2812883	2812883	2761667	2470179	29	403095	2816038	179356	100929	6	11	0.64
10770_5#14	10770_5#14.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	34	28	27	27	20	17	2817989	2814929	2813009	2813009	2690444	2583810	30	403130	2816413	179353	108868	6	11	0.71
10770_5#15	10770_5#15.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	48	27	26	26	22	18	2825477	2818115	2815797	2815797	2748415	2607598	27	579411	2818115	150709	100929	6	12	0.57
10770_5#16	10770_5#16.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	27	26	24	24	22	18	2819586	2819226	2814977	2814977	2775531	2634968	26	403581	2819226	174712	100929	6	11	0.67
10770_5#17	10770_5#17.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	28	25	24	24	21	15	2818566	2816542	2814619	2814619	2768070	2540830	27	403268	2818195	190728	125537	6	10	0.64
10770_5#1	10770_5#1.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	31	29	27	27	22	17	2818071	2817328	2813095	2813095	2721418	2555119	29	403304	2817328	174169	100929	6	12	0.82
10770_5#2	10770_5#2.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	30	28	26	26	24	17	2818657	2817846	2813603	2813603	2774201	2531438	28	403354	2817846	169038	101443	6	11	0.78
10770_5#3	10770_5#3.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	30	30	28	28	23	17	2819299	2819299	2815068	2815068	2731584	2505556	30	403287	2819299	174169	93087	6	12	0.60
10770_5#45	10770_5#45.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	31	29	25	25	23	16	2819212	2818149	2808190	2808190	2775344	2524831	30	409123	2818716	187343	101723	5	11	0.75
10770_5#46	10770_5#46.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	33	30	26	26	24	17	2818500	2816848	2808243	2808243	2775398	2502471	31	403645	2817707	150714	86915	6	11	0.71
10770_5#47	10770_5#47.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	32	31	28	28	23	16	2816368	2815541	2809027	2809027	2715704	2451272	32	403555	2816368	150590	86909	6	12	1.14
10770_5#48	10770_5#48.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	33	32	30	29	24	16	2817698	2817288	2813067	2804536	2715486	2415131	32	403668	2817288	150540	101092	7	13	0.75
10770_5#49	10770_5#49.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	34	30	29	28	24	16	2817811	2814844	2812919	2804402	2737052	2464907	33	579676	2817340	146596	100929	6	12	0.71
10770_5#4	10770_5#4.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	33	32	30	29	24	18	2817293	2816749	2812520	2803999	2714405	2478341	33	284265	2817293	174169	86962	7	13	0.60
10770_5#50	10770_5#50.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	33	30	28	28	24	19	2818123	2816680	2812444	2812444	2745070	2568337	31	403294	2817370	150602	92972	7	13	0.57
10770_5#51	10770_5#51.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	29	28	25	25	21	17	2817724	2817424	2812131	2812131	2745167	2604723	28	386105	2817424	179353	100929	5	11	0.78
10770_5#52	10770_5#52.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	27	26	24	24	22	17	2819066	2818649	2814421	2814421	2784284	2594279	26	403258	2818649	169051	107969	6	11	0.64
10770_5#53	10770_5#53.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	27	26	24	24	21	17	2820631	2820063	2815826	2815826	2764605	2609298	27	284135	2820631	179350	125452	7	11	0.67
10770_5#54	10770_5#54.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	27	26	24	24	21	16	2818776	2818190	2813957	2813957	2762752	2573545	27	403294	2818776	190706	124516	6	10	0.99
10770_5#55	10770_5#55.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	29	25	24	24	21	16	2817668	2815472	2813547	2813547	2761953	2572830	27	403467	2816954	190804	124378	6	11	0.99
10770_5#56	10770_5#56.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	29	27	26	26	22	17	2816720	2815063	2813137	2813137	2745788	2567674	29	403349	2816720	174714	101018	5	11	1.17
10770_5#57	10770_5#57.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	29	29	27	27	24	19	2818301	2818301	2814065	2814065	2762865	2577695	29	236099	2818301	167289	100929	8	13	0.60
10770_5#58	10770_5#58.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	30	29	27	26	22	20	2818394	2818030	2813733	2804006	2736892	2668472	29	257590	2818030	146067	108242	8	13	0.92
10770_5#59	10770_5#59.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	30	29	27	27	23	18	2817781	2817348	2813253	2813253	2746194	2567166	29	403489	2817348	174715	100929	6	12	0.64
10770_5#5	10770_5#5.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	31	29	28	28	23	17	2816790	2815644	2813719	2813719	2730268	2514650	30	403621	2816357	174169	100929	6	12	0.60
10770_5#60	10770_5#60.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	26	25	23	23	20	16	2817919	2817486	2812929	2812929	2761772	2611135	25	403651	2817486	214525	107514	5	10	0.75
