submodule	subsystem	reaction_id	enzyme_name	locus_tag	gene_gff	product_gff	start_gff	end_gff	submodule_cds_length
Fatty Acid Metabolism	Lipid Metabolism	ACACT5r;ACOADH2;APG3PAT140a;AT_MBD;AT_MBD2;BTCCPL;G3PAT140;KAS8;MACPD;MBCOA3;TDACPT	acetyl-CoA C-acyltransferase (decanoyl-CoA) (r);acyl-CoA dehydrogenase (Isobutiryl-CoA);myristoyl-glycerol-3-phosphate O-acyltransferase ;S-2-methylbutanoyl-CoA enzyme N6-dihydrolipoyllysine ;2-methylpropanoyl-CoA enzyme N6-dihydrolipoyllysine ;biotin-carboxyl-carrier-protein carbon-dioxide ligase ADP-forming ;glycerol-3-phosphate acyltransferase (C14:0);b-ketoacyl synthetase (palmitate, n-C16:0);Malonyl-ACP decarboxylase;S-2-methylbutanoyl-CoA oxygen 2 3-oxidoreductase ;tetradecanoyl-ACP acyl-carrier-protein transferase 	B7H15_01240;B7H15_03145;B7H15_05070;B7H15_05075;B7H15_06395;B7H15_06400;B7H15_06405;B7H15_07130;B7H15_07680;B7H15_08340;B7H15_08395;B7H15_08400;B7H15_12680	-;-;-;-;-;-;-;-;-;-;-;-;-	acetyl-CoA acetyltransferase;acetyl-CoA acetyltransferase;3-oxoacyl-ACP synthase III;beta-ketoacyl-[acyl-carrier-protein] synthase II;fatty acid biosynthesis transcriptional regulator;phosphate acyltransferase;malonyl CoA-ACP transacylase;acyl-phosphate glycerol 3-phosphate acyltransferase;bifunctional biotin--[acetyl-CoA-carboxylase] synthetase/biotin operon repressor;2-oxoglutarate dehydrogenase;acetyl-CoA carboxylase biotin carboxylase subunit;acetyl-CoA carboxylase biotin carboxyl carrier protein subunit;acyl-CoA dehydrogenase	269059;640701;986168;987121;1242924;1243501;1244480;1386247;1528904;1632962;1643653;1645008;2404015	270244;641841;987110;988366;1243497;1244488;1245407;1386856;1529876;1634237;1645009;1645473;2405170	12833
Folate Metabolism	Carbohydrate Metabolism;Cofactor and Prosthetic Group Metabolism;Transport	2A4H6ET;AKP1;DHFR;DHFS;DHNPA2;DHPS2;EX_fol_e;FOLt;FORMANT;FTHFCL;FTHFL;GCALDD;GTPHDR;GTPHL;HPPK2;MTHFC;MTHFD;MTHFR3;PTHPS;THFGLUS	2-Amino-4-hydroxy-6-erythro-1 2 3-trihydroxypropyl ;alkaline phosphatase (Dihydroneopterin);dihydrofolate reductase;dihydrofolate synthase;dihydroneopterin aldolase;dihydropteroate synthase;Folate exchange;Folate transport: mechanism unknown;Formamidopyrimidine nucleoside triphosphate 7 8-8 9-dihydrolase ;5-formethyltetrahydrofolate cyclo-ligase;formate-tetrahydrofolate ligase;Glycolaldehyde dehydrogenase;GTP 7 8-8 9-dihydrolase ;GTP 7 8-8 9-dihydrolase ;6-hydroxymethyl-dihydropterin pyrophosphokinase;methenyltetrahydrofolate cyclohydrolase;methylenetetrahydrofolate dehydrogenase (NADP);5,10-methylenetetrahydrofolatereductase (NADPH);6-pyruvoyltetrahydropterin synthase;Tetrahydrofolate:L-glutamate gamma-ligase (ADP-forming)	B7H15_01960;B7H15_02730;B7H15_02735;B7H15_02740;B7H15_03095;B7H15_03960;B7H15_05510;B7H15_07525;B7H15_08515;B7H15_09055;B7H15_09440;B7H15_11785;B7H15_14630	-;-;-;-;-;-;-;-;-;-;-;-;-	bifunctional homocysteine S-methyltransferase/methylenetetrahydrofolate reductase;dihydropteroate synthase;dihydroneopterin aldolase;2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase;GTP cyclohydrolase I FolE2;6-carboxytetrahydropterin synthase QueD;bifunctional methylenetetrahydrofolate dehydrogenase/methenyltetrahydrofolate cyclohydrolase;dihydrofolate reductase;5-formyltetrahydrofolate cyclo-ligase;bifunctional folylpolyglutamate synthase/dihydrofolate synthase;formate--tetrahydrofolate ligase;aldehyde dehydrogenase family protein;alkaline phosphatase	410517;552212;552993;553355;631892;785723;1073271;1465615;1662258;1762717;1848726;2238948;2772142	412359;553016;553359;553832;632771;786143;1074132;1466095;1662798;1763989;1850394;2240376;2773567	12446
Galactose metabolism	Carbohydrate Metabolism;Exchange;Transport	6PGALSZ;EX_lcts_e;GALpts;LACpts;RAFH	6-phospho-beta-galactosidase;Lactose exchange;Galactose transport via PTS;Lactose transport via PEP:Pyr PTS;raffinose hydrolyzing enzyme	B7H15_05615;B7H15_05620;B7H15_11315;B7H15_12185;B7H15_12190;B7H15_12195	-;-;-;-;-;-	phosphocarrier protein HPr;phosphoenolpyruvate--protein phosphotransferase;sucrose-6-phosphate hydrolase;6-phospho-beta-galactosidase;PTS lactose EIICB component;lactose-specific phosphotransferase enzyme IIA component	1093132;1093401;2152600;2327460;2328890;2330608	1093399;1095120;2154085;2328873;2330603;2330920	6915
Glutamate metabolism	Energy Production and Conversion	GLNS;GLUDy;GLUN;GLUSy	glutamine synthetase;Glutamate dehydrogenase (NADP);Glutaminase;glutamate synthase (NADPH)	B7H15_02470;B7H15_02475;B7H15_02840;B7H15_02845;B7H15_04940;B7H15_06820	-;-;-;-;-;-	glutamate synthase large subunit;glutamate synthase;pyridoxal 5'-phosphate synthase lyase subunit PdxS;pyridoxal 5'-phosphate synthase glutaminase subunit PdxT;NAD-specific glutamate dehydrogenase;glutamine synthetase	497621;502138;569578;570469;954040;1337663	502121;503602;570466;571030;955285;1339004	10005
Glycerol metabolism	Carbohydrate Metabolism;Lipid Metabolism	ALCD19;EX_glcr_e;EX_glyald_e;EX_glyc3p_e;EX_glyc_e;G3PD;G3PD1;G3PD2;GLCRAL;GLCRD;GLCRtex;GLYALDDr;GLYALDt;GLYC3Pt6;GLYCK;GLYCt2;GLYD;GLYKr;GPDDA1;GPDDA2;GPDDA3;GPDDA4;GPDDA5;HPYRRx;TRSARr	alcohol dehydrogenase (glycerol);D-Glucarate exchange;D-Glyceraldehyde exchange;Glycerol 3-phosphate exchange;Glycerol exchange;glycerol-3-phosphate dehydrogenase (FAD);glycerol-3-phosphate dehydrogenase (NAD);glycerol-3-phosphate dehydrogenase (NADP);5-dehydro-4-deoxyglucarate aldolase;glucarate dehydratase;D-glucarate transport via diffusion (extracellular to cytoplasm);D-Glyceraldehyde dehydrogenase;Glyceraldehyde facilitated diffusion;Glycerol-3-phosphate : phosphate antiporter;glycerate kinase;Glycerol transport via symport;glycerate dehydrogenase;glycerol kinase (reversible);Glycerophosphodiester phosphodiesterase (Glycerophosphocholine);Glycerophosphodiester phosphodiesterase (Glycerophosphoethanolamine);Glycerophosphodiester phosphodiesterase (Glycerophosphoserine);Glycerophosphodiester phosphodiesterase (Glycerophosphoglycerol);Glycerophosphodiester phosphodiesterase (Glycerophosphoinositol);Hydroxypyruvate reductase (NADH);tartronate semialdehyde reductase	B7H15_00165;B7H15_00295;B7H15_00850;B7H15_01185;B7H15_01220;B7H15_01855;B7H15_03360;B7H15_04160;B7H15_04795;B7H15_04955;B7H15_05815;B7H15_06770;B7H15_06775;B7H15_06780;B7H15_07770;B7H15_09375;B7H15_11785;B7H15_12785;B7H15_13145;B7H15_13510	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	glycerophosphoryl diester phosphodiesterase;alcohol dehydrogenase;bifunctional acetaldehyde-CoA/alcohol dehydrogenase;hexose phosphate transporter;glycerophosphodiester phosphodiesterase;glycerol-3-phosphate transporter;zinc-dependent alcohol dehydrogenase;glycerate kinase;D-glycerate dehydrogenase;glycerophosphodiester phosphodiesterase;glycerophosphodiester phosphodiesterase;aquaporin;glycerol kinase;aerobic glycerol-3-phosphate dehydrogenase;glycerol-3-phosphate dehydrogenase (NAD(P)(+));glycerophosphodiester phosphodiesterase;aldehyde dehydrogenase family protein;hydroxyacid dehydrogenase;oxidoreductase;glycerate kinase	37269;63497;171431;255205;264166;389659;673519;820855;927759;955787;1132037;1327189;1328136;1329790;1544310;1833720;2238948;2421869;2492349;2557490	38013;64625;174041;256585;265930;391018;674530;821980;928719;956717;1132964;1328008;1329633;1331464;1545309;1834464;2240376;2422823;2493396;2558633	24263
Glycine cleavage system	Cofactor and Prosthetic Group Metabolism	GCCa;GCCb;GCCc;GCVHF;GCVHL;LPL1;LPL2	glycine-cleavage complex;glycine cleavage complex;glycine-cleavage complex;GcvH-L complex formation;GcvH Lipoylation;lipoate protein ligase 1;lipoate protein ligase 2	B7H15_04540;B7H15_05690;B7H15_08435;B7H15_08440;B7H15_08445	-;-;-;-;-	glycine cleavage system protein H;dihydrolipoyl dehydrogenase;glycine dehydrogenase;glycine dehydrogenase;aminomethyltransferase	891083;1106897;1650311;1651776;1653142	891464;1108304;1651784;1653123;1654234	5696
Glycolysis/Gluconeogenesis	Carbohydrate Metabolism;Energy Production and Conversion;Exchange;Transport	6PHBG;6PHBG2;ENO;EX_glc__D_e;FBA;FBP;G6PI;GAPD;GAPDy;GLCpts;GLGC;PC;PDH;PDHbr;PDHcr;PFK;PGI;PGK;PGM;PYK;TPI	6-phospho-beta-glucosidase;Salicin 6-phosphate glucohydrolase ;enolase;D-Glucose exchange;fructose-bisphosphate aldolase;fructose-bisphosphatase;Glucose-6-phosphate isomerase;glyceraldehyde-3-phosphate dehydrogenase;glyceraldehyde-3-phosphate dehydrogenase (NADP);D-glucose transport via PEP:Pyr PTS;glucose-1-phosphate adenylyltransferase;pyruvate carboxylase;pyruvate dehydrogenase;pyruvate dehydrogenase (dihydrolipoamide) reversible;Pyruvate dehydrogenase (dihydrolipoamide dehydrogenase) reversible;phosphofructokinase;glucose-6-phosphate isomerase;phosphoglycerate kinase;phosphoglycerate mutase;pyruvate kinase;triose-phosphate isomerase	B7H15_01055;B7H15_01305;B7H15_01435;B7H15_02070;B7H15_03240;B7H15_04345;B7H15_04350;B7H15_04355;B7H15_04360;B7H15_04365;B7H15_04970;B7H15_05615;B7H15_05620;B7H15_05675;B7H15_05680;B7H15_05685;B7H15_05690;B7H15_05780;B7H15_08355;B7H15_09190;B7H15_09250;B7H15_09255;B7H15_11800;B7H15_12520;B7H15_13395;B7H15_13895;B7H15_13995;B7H15_14115;B7H15_14480	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	PTS glucose EIICBA component;PTS glucose transporter subunit IIB;6-phospho-beta-glucosidase;histidine phosphatase family protein;dihydrolipoamide dehydrogenase;aldehyde dehydrogenase;phosphoglycerate kinase;triose-phosphate isomerase;2,3-bisphosphoglycerate-independent phosphoglycerate mutase;enolase;glucose-6-phosphate isomerase;phosphocarrier protein HPr;phosphoenolpyruvate--protein phosphotransferase;pyruvate dehydrogenase E1 component subunit alpha;pyruvate dehydrogenase E1 component subunit beta;dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex;dihydrolipoyl dehydrogenase;pyruvate carboxylase;dihydrolipoyl dehydrogenase;aldehyde dehydrogenase;pyruvate kinase;ATP-dependent 6-phosphofructokinase;fructose-bisphosphate aldolase;glucose uptake protein GlcU;2,3-bisphosphoglycerate-dependent phosphoglycerate mutase;UTP--glucose-1-phosphate uridylyltransferase;fructose 1,6-bisphosphatase;PTS glucoside EIICBA component;class I fructose-bisphosphate aldolase	221557;284424;311840;425740;656303;858233;859382;860694;861458;863105;959883;1093132;1093401;1103417;1104533;1105601;1106897;1123820;1636240;1789432;1806291;1808070;2242762;2378216;2538738;2629281;2652370;2673362;2744113	223603;285954;313277;426322;657626;859244;860573;861456;862976;864410;961215;1093399;1095120;1104530;1105511;1106894;1108304;1127273;1637662;1790458;1808049;1809039;2243623;2379080;2539425;2630148;2654335;2675429;2745004	37673
Haem biosynthesis	Cofactor and Prosthetic Group Metabolism	CPP3FC;CPP3O1;FECPP3O	Coproporphyrin III ferrochelatas;Coproporphyrinogen III oxidase;Fe-coproporphyrin III oxidase/dehydrogenase	B7H15_03205;B7H15_10045;B7H15_10050	-;-;-	heme-binding protein;protoporphyrinogen oxidase;ferrochelatase	649404;1964398;1965822	650157;1965799;1966746	3081
Heme biosynthesis	Cofactor and Prosthetic Group Metabolism	G1SAT;HEMEOS;HMBS;PPBNGS;SHCHD2;UPP3MT;UPP3S;UPPDC1	glutamate-1-semialdehyde aminotransferase;Heme O synthase;hydroxymethylbilane synthase;porphobilinogen synthase;sirohydrochlorin dehydrogenase (NAD);uroporphyrinogen methyltransferase;uroporphyrinogen-III synthase;uroporphyrinogen decarboxylase (uroporphyrinogen III)	B7H15_05790;B7H15_09080;B7H15_09085;B7H15_09090;B7H15_09095;B7H15_10055;B7H15_10385;B7H15_13290	-;-;-;-;-;-;-;-	protoheme IX farnesyltransferase;glutamate-1-semialdehyde 2,1-aminomutase;delta-aminolevulinic acid dehydratase;uroporphyrinogen III synthase;hydroxymethylbilane synthase;uroporphyrinogen decarboxylase;glutamate-1-semialdehyde 2,1-aminomutase;uroporphyrinogen-III C-methyltransferase	1128763;1769086;1770420;1771397;1772087;1966803;2007134;2521878	1129675;1770373;1771395;1772066;1773014;1967841;2008424;2522856	8084
Histidine biosynthesis	Amino Acid Metabolism	ATPPRT;FGLU;HISD;HISTP;HSTPTr;IG3PS;IGPDH;IZPN;LHISO;LHIST;PRAMPC;PRATPP;PRMICIi;URCN	ATP phosphoribosyltransferase;formimidoylglutamase;histidase;histidinol-phosphatase;histidinol-phosphate transaminase reversible;Imidazole-glycerol-3-phosphate synthase;imidazoleglycerol-phosphate dehydratase;imidazolonepropionase;L-Histidinol NAD oxidoreductase ;L-Histidinal NAD oxidoreductase ;phosphoribosyl-AMP cyclohydrolase;phosphoribosyl-ATP pyrophosphatase;1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino)imidazole-4-carboxamide isomerase (irreversible);urocanase	B7H15_00040;B7H15_04025;B7H15_05940;B7H15_12920;B7H15_12925;B7H15_12940;B7H15_14875;B7H15_14880;B7H15_14885;B7H15_14890;B7H15_14895;B7H15_14900;B7H15_14905;B7H15_14910;B7H15_14915	-;-;-;-;-;-;-;-;-;-;-;-;-;-;hisZ	histidine ammonia-lyase;histidinol-phosphate transaminase;DNA polymerase/3'-5' exonuclease PolX;imidazolonepropionase;urocanate hydratase;formimidoylglutamase;bifunctional phosphoribosyl-AMP cyclohydrolase/phosphoribosyl-ATP diphosphatase;imidazole glycerol phosphate synthase cyclase subunit;1-(5-phosphoribosyl)-5-((5-phosphoribosylamino)methylideneamino)imidazole-4-carboxamide isomerase;imidazole glycerol phosphate synthase subunit HisH;imidazoleglycerol-phosphate dehydratase;histidinol-phosphate aminotransferase;histidinol dehydrogenase;ATP phosphoribosyltransferase;ATP phosphoribosyltransferase regulatory subunit	10376;800864;1152692;2449456;2450694;2454196;2834694;2835323;2836078;2836775;2837350;2837897;2838926;2840169;2840801	11891;801923;1154405;2450695;2452356;2455132;2835327;2836082;2836783;2837354;2837929;2838911;2840177;2840784;2841620	15025
Iron sequestration system	Cofactor and Prosthetic Group Metabolism;Exchange;Inorganic Ion Transport and Metabolism;Transport	EX_HEMOGLOBIN_E;EX_ISTFRNA_E;EX_ISTFRNB_E;EX_STFRNA_E;EX_STFRNB_E;EX_XSIDEROPHORE_E;EX_fe2_e;EX_pheme_e;FE2abc;HMIA;HMIAabc;HOXG;SMIA1;SMIA1Eabc;SMIA1abc;SMIA2abc;SMIB1;XNSPabc	;;;;;;Fe2+ exchange;Protoheme exchange;Iron (II) transport via ABC system;Heme Mediated Iron Acquisition;Heme Mediated Iron Acquisition ABC Transport;Heme oxygenase;Staphyloferrin A Mediated Iron Acquisition;Siderophore Mediated Iron Acquisition: Staphyloferrin A export;Siderophore Mediated Iron Acquisition: Staphyloferrin A transport via ABC;Siderophore Mediated Iron Acquisition: Staphyloferrin B transport via ABC;Staphyloferrin B Mediated Iron Acquisition;Xenosiderophore Transport via ABC	B7H15_00635;B7H15_00640;B7H15_00645;B7H15_00935;B7H15_03625;B7H15_03630;B7H15_03635;B7H15_05860;B7H15_05865;B7H15_05870;B7H15_05875;B7H15_05880;B7H15_05885;B7H15_05895;B7H15_09435;B7H15_11205;B7H15_12105;B7H15_12110;B7H15_12115;B7H15_12675;B7H15_13155;B7H15_14190;B7H15_14360	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;fecD;-;-;-;-;-;-	iron ABC transporter permease;iron-siderophore ABC transporter permease;iron ABC transporter substrate-binding protein;monooxygenase IsdI;iron-enterobactin transporter ATP-binding protein;iron ABC transporter;iron ABC transporter permease;iron-regulated surface determinant protein B;iron-regulated surface determinant protein A;iron-regulated surface determinant protein C;heme ABC transporter permease;heme uptake system protein IsdE;hemin ABC transporter permease;monooxygenase IsdI;iron-regulated surface determinant protein H;ferrichrome ABC transporter substrate-binding protein;iron-dicitrate transporter subunit FecD;iron-siderophore ABC transporter permease;ABC transporter substrate-binding protein;ferrichrome ABC transporter substrate-binding protein;thioredoxin reductase;ferrous iron transporter B;transporter	131459;132454;133465;191019;723017;723850;724851;1137236;1139376;1140637;1141320;1142393;1143281;1145064;1845744;2135374;2308811;2309776;2310819;2402893;2493878;2688638;2723794	132458;133450;134458;191346;723815;724855;725868;1139174;1140429;1141321;1142397;1143272;1144250;1145388;1848432;2136286;2309780;2310808;2311803;2403802;2494913;2690633;2725135	24925
Iron storage	Inorganic Ion Transport and Metabolism	FISC	Ferritin iron-storage complex	B7H15_10550	-	non-heme ferritin	2035938	2036439	502
Iron-sulfur cluster biosynthesis	Cofactor and Prosthetic Group Metabolism	S2FE2SR;S2FE2SS2;S2FE2ST;S2FE2STB;S4FE4SR;S4FE4ST;S4FE4STB;SCYSDS	SUF [2Fe-2S] regeneration;SUF [2Fe-2S] Synthesis II;SUF [2Fe-2S] Transfer;Bacillithiol-dependent SUF [2Fe-2S] Transfer;SUF [4Fe-4S] Reduction;SUF [4Fe-4S] Transfer;Bacillithiol-dependent SUF [4Fe-4S] Transfer;SUF Cysteine desulfuration	B7H15_04700;B7H15_04705;B7H15_04710;B7H15_04715;B7H15_04720;B7H15_04830;B7H15_04850;B7H15_05020	-;-;-;-;-;-;-;-	ABC transporter ATP-binding protein;Fe-S cluster assembly protein SufD;aminotransferase;iron-sulfur cluster assembly scaffold protein NifU;Fe-S cluster assembly protein SufB;NifU family protein;iron-sulfur cluster assembly accessory protein;DNA methyltransferase	912655;913514;914927;916167;916782;933655;936010;974787	913417;914822;916178;916632;918180;933898;936370;975096	6092
Lipoate biosynthesis	Cofactor and Prosthetic Group Metabolism;Lipid Metabolism;Transport	FA80ACPHi;LIPAMPL;LIPATPT;LIPOPBt;LIPOS;OCTNLL	Fatty-acyl-ACP hydrolase;Lipoyl-adenylate protein ligase;Lipoate-ATP adenylate transferase;Lipoate transport via proton symport;Lipoate synthase;Octanoate non-lipoylated apo domain ligase	B7H15_01805;B7H15_03215;B7H15_04770;B7H15_05300;B7H15_08425	-;-;-;-;-	lipoate--protein ligase;lipoate--protein ligase;lipoyl synthase;lipoate--protein ligase;octanoyltransferase	380434;651385;924640;1035030;1648572	381457;652150;925558;1036017;1649403	4529
Lipoteichoic acid metabolism	Cell Wall/Membrane/Envelope Metabolism	ACPAL;AGPAT;CLPNS_MRSA;DAGK;DGDCGTR;G3PACT;LTAF;LTAGNACT;LTAS;PAP;PAT;PCT;PGLYST;PGPP_MRSA;PGSA_MRSA;TAAL;TAALT;UDPG12dgrGT_MRSA;acACPF	D-alanine--[D-alanyl carrier protein] ligase;1-acylglycerol-3-phosphate O-acyltransferase;Cardiolipin Synthase (Saureus);diacylglycerol kinase;diglucosyl-diacylglycerol permease;glycerol-3-phosphate acyltransferase;Lipoteichoic acid formation;Acetyl-glucosamine-LTA glycosyltransferase;lipoteichoic acid synthase;Phosphatidate phosphatase;Phosphate acyltransferase;phosphatidate cytidylyltransferase;Phosphatidylglycerol lysyltransferase;phosphatidylglycerophosphatase;CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase;D-alanine carrier protein:PG D-alanyltransferase;Teichoic acid D-alanyltransferase;1,2-diacylglycerol 3-D-glucosyltransferase;acACP formation (average)	B7H15_04000;B7H15_04810;B7H15_04815;B7H15_04820;B7H15_04825;B7H15_05235;B7H15_05240;B7H15_06400;B7H15_06575;B7H15_06695;B7H15_06930;B7H15_07130;B7H15_07170;B7H15_07480;B7H15_09410;B7H15_10580;B7H15_11595	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	lipoteichoic acid synthase;D-alanine--poly(phosphoribitol) ligase;D-alanyl-lipoteichoic acid biosynthesis protein DltB;D-alanine--poly(phosphoribitol) ligase subunit 2;D-alanyl-lipoteichoic acid biosynthesis protein DltD;MFS transporter;diacylglycerol beta-glucosyltransferase;phosphate acyltransferase;phosphatidate cytidylyltransferase;CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase;cardiolipin synthase;acyl-phosphate glycerol 3-phosphate acyltransferase;phosphatidylglycerol lysyltransferase;phosphatase PAP2 family protein;1-acyl-sn-glycerol-3-phosphate acyltransferase;diacylglycerol kinase;cardiolipin synthase	792031;929298;930752;931984;932217;1020729;1021897;1243501;1280063;1308957;1348814;1386247;1396339;1458684;1840835;2040908;2209787	793972;930756;931967;932221;933393;1021938;1023073;1244488;1280846;1309536;1350296;1386856;1398862;1459299;1841453;2041856;2211272	19006
Lysine biosynthesis	Amino Acid Metabolism	AOBUTDs;APAT;DAPDA;DAPDC;DAPE;DHDPRy;DHDPS;HSERTA;HSK;NALN6;SDPDS;SDPTA;THDPS;THRS	L-2-amino-3-oxobutanoate decarboxylation (spontaneous);Acetyl-CoA L-2 3 4 5-tetrahydrodipicolinate N2-acetyltransferase ;N-acetyl-L,L-diaminopimelate deacetylase;diaminopimelate decarboxylase;diaminopimelate epimerase;dihydrodipicolinate reductase (NADPH);dihydrodipicolinate synthase;homoserine O-trans-acetylase;homoserine kinase;N-acetyl-LL-diaminopimelate aminotransferase;succinyl-diaminopimelate desuccinylase;succinyldiaminopimelate transaminase;tetrahydrodipicolinate succinylase;threonine synthase	B7H15_00065;B7H15_00685;B7H15_03000;B7H15_05430;B7H15_06985;B7H15_06990;B7H15_07350;B7H15_07355;B7H15_07360;B7H15_07365;B7H15_07370;B7H15_07375;B7H15_09385;B7H15_09545;B7H15_11190;B7H15_11995;s0001	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	homoserine acetyltransferase;diaminopimelate decarboxylase;N-acetyl-L,L-diaminopimelate deacetylase;N-acetyl-L,L-diaminopimelate aminotransferase;threonine synthase;homoserine kinase;4-hydroxy-tetrahydrodipicolinate synthase;4-hydroxy-tetrahydrodipicolinate reductase;2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-acetyltransferase;hydrolase;alanine racemase 2;diaminopimelate decarboxylase;aminotransferase class V;dipeptidase PepV;succinyl-diaminopimelate desuccinylase;arginase	15589;143935;604236;1055965;1359561;1360624;1433949;1434833;1435582;1436444;1437600;1438675;1835103;1872852;2132872;2290617	16558;145138;605412;1057120;1360623;1361539;1434837;1435556;1436302;1437596;1438686;1439941;1836264;1874262;2134096;2291526	17018
Menaquinone biosynthesis	Cofactor and Prosthetic Group Metabolism	2S5EPAC;2SU6HYCC;DHNAOT;DHNCOAS;DHNCOAT;GGTT;HEXTT;ICHORS;MQNS;NPHS;NPHSr;PPTT;SUCBZL;SUCBZS	2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate ;2-succinyl-6-hydroxy-2 4-cyclohexadiene-1-carboxylate synthase ;1 4-dihydroxy-2-naphthoate octaprenyltransferase;1,4-dihydroxy-2-napthoyl-CoA synthase;1,4-dihydroxy-2-napthoyl-CoA thioesterase;geranylgeranyltranstransferase;trans-hexaprenyltranstransferase;isochorismate synthase;11,4-dihydroxy-2-naphthoate octaprenyltransferase;naphthoate synthase;naphthoate synthase (reversible);trans-pentaprenyltranstransferase;o-succinylbenzoate-CoA ligase;O-succinylbenzoate-CoA synthase	B7H15_05385;B7H15_05395;B7H15_05400;B7H15_05410;B7H15_07110;B7H15_07745;B7H15_07750;B7H15_07755;B7H15_09775;B7H15_09780;B7H15_14110	-;-;-;-;-;-;-;-;-;-;-	1,4-dihydroxy-2-naphthoate octaprenyltransferase;isochorismate synthase;2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate synthase;1,4-dihydroxy-2-naphthoyl-CoA synthase;4-hydroxybenzoyl-CoA thioesterase;heptaprenyl diphosphate synthase;demethylmenaquinone methyltransferase;heptaprenyl pyrophosphate synthase subunit A;o-succinylbenzoate synthase;2-succinylbenzoate-CoA ligase;acyl-CoA thioester hydrolase	1046813;1048083;1049281;1051737;1384901;1541175;1542136;1542864;1921261;1922267;2672572	1047752;1049295;1050955;1052559;1385369;1542120;1542862;1543437;1922263;1923746;2672983	10247
Mevalonate pathway	Cofactor and Prosthetic Group Metabolism	ACACT1r;DMATT;DPMVD;GRTT;HMGCOARi;HMGCOAS;IPDDI;MEVK1;MEVK2;MEVK3;MEVK4;PMEVK	acetyl-CoA C-acetyltransferase;dimethylallyltranstransferase;diphosphomevalonate decarboxylase;geranyltranstransferase;Hydroxymethylglutaryl CoA reductase (ir);Hydroxymethylglutaryl CoA synthase;isopentenyl-diphosphate D-isomerase;mevalonate kinase (atp);mevalonate kinase (ctp);mevalonate kinase (gtp);mevalonate kinase (utp);phosphomevalonate kinase	B7H15_01240;B7H15_01945;B7H15_03145;B7H15_03220;B7H15_03225;B7H15_03230;B7H15_08370;B7H15_13005;B7H15_14165;B7H15_14170	-;-;-;-;-;-;-;-;-;-	acetyl-CoA acetyltransferase;acetyl-CoA acyltransferase;acetyl-CoA acetyltransferase;mevalonate kinase;diphosphomevalonate decarboxylase;phosphomevalonate kinase;geranyl transferase;type 2 isopentenyl-diphosphate Delta-isomerase;hydroxymethylglutaryl-CoA reductase, degradative;hydroxymethylglutaryl-CoA synthase	269059;406233;640701;652736;653661;654657;1640391;2465690;2682484;2684015	270244;407415;641841;653657;654645;655734;1641273;2466740;2683762;2685182	10876
Molybdenum cofactor biosynthesis	Cofactor and Prosthetic Group Metabolism	CPMPS;GTPC;MOADSUx;MOCOS;MPTAT;MPTS;MPTSS	Cyclic pyranopterin monophosphate synthase;GTP 3',8'-cyclase;MoaD sulfuration (nadh, assumed);Molybdenum cofactor synthase;Molybdopterin adenylyltransferase;Molybdopterin synthase;Molybdopterin synthase sulfurylase	B7H15_12595;B7H15_12605;B7H15_12610;B7H15_12620;B7H15_12625;B7H15_12635;B7H15_12640	-;-;-;-;-;-;-	cyclic pyranopterin monophosphate synthase;molybdopterin synthase sulfur carrier subunit;molybdopterin synthase catalytic subunit;molybdopterin molybdenumtransferase;cyclic pyranopterin monophosphate synthase MoaC;molybdopterin biosynthesis protein MoeB;molybdenum ABC transporter ATP-binding protein	2390346;2391994;2392233;2393175;2394497;2395530;2396704	2391369;2392228;2392680;2394435;2394992;2396535;2397310	5077
