locus_tag	gene	product	type	start	end	strand	snpEff_locus_id
B7H15_00160	-	hypothetical protein	CDS	36530	36761	1	CDS_USA300_JE2_36531_36761
B7H15_00165	-	glycerophosphoryl diester phosphodiesterase	CDS	37269	38013	1	CDS_USA300_JE2_37270_38013
B7H15_00170	-	hypothetical protein	CDS	38109	38538	1	CDS_USA300_JE2_38110_38538
B7H15_00175	-	PBP2a family beta-lactam-resistant peptidoglycan transpeptidase MecA	CDS	38583	40593	-1	CDS_USA300_JE2_38584_40593
B7H15_00180	-	beta-lactam sensor/signal transducer MecR1	CDS	40762	41677	1	CDS_USA300_JE2_40763_41677
B7H15_00185	-	restriction endonuclease	CDS	41648	41909	1	CDS_USA300_JE2_41649_41909
B7H15_00190	-	IS5/IS1182 family transposase	CDS	41918	43555	-1	CDS_USA300_JE2_41919_43555
B7H15_00195	-	hypothetical protein	CDS	43558	44065	-1	CDS_USA300_JE2_43559_44065
B7H15_00200	-	hypothetical protein	CDS	44079	44391	-1	CDS_USA300_JE2_44080_44391
B7H15_00205	-	hypothetical protein	CDS	44477	44828	-1	CDS_USA300_JE2_44478_44828
B7H15_00210	-	recombinase RecB	CDS	45349	46978	-1	CDS_USA300_JE2_45350_46978
B7H15_00215	-	recombinase RecA	CDS	46999	48349	-1	CDS_USA300_JE2_47000_48349
B7H15_00220	-	hypothetical protein	CDS	48582	50370	-1	CDS_USA300_JE2_48583_50370
B7H15_00225	-	hypothetical protein	CDS	50369	50660	-1	CDS_USA300_JE2_50370_50660
B7H15_00230	-	ACP synthase	CDS	50798	51848	1	CDS_USA300_JE2_50799_51848
B7H15_00235	-	AAA family ATPase	CDS	52520	54011	1	CDS_USA300_JE2_52521_54011
B7H15_00240	-	MBL fold metallo-hydrolase	CDS	54383	55702	-1	CDS_USA300_JE2_54384_55702
B7H15_00245	-	HNH endonuclease	CDS	55891	56263	1	CDS_USA300_JE2_55892_56263
B7H15_00250	-	hypothetical protein	CDS	56391	57012	1	CDS_USA300_JE2_56392_57012
B7H15_00255	-	hypothetical protein	CDS	57531	57753	-1	CDS_USA300_JE2_57532_57753
B7H15_00260	-	HNH endonuclease	CDS	58500	59466	1	CDS_USA300_JE2_58501_59466
B7H15_00265	-	hypothetical protein	CDS	59562	59754	1	CDS_USA300_JE2_59563_59754
B7H15_00270	-	hypothetical protein	CDS	59845	60175	1	CDS_USA300_JE2_59846_60175
B7H15_00275	-	hypothetical protein	CDS	60251	60611	-1	CDS_USA300_JE2_60252_60611
B7H15_00280	-	hypothetical protein	CDS	61140	61991	-1	CDS_USA300_JE2_61141_61991
B7H15_00285	-	hypothetical protein	CDS	62300	62483	-1	CDS_USA300_JE2_62301_62483
B7H15_00290	-	spermidine acetyltransferase	CDS	62502	63000	-1	CDS_USA300_JE2_62503_63000
B7H15_00295	-	alcohol dehydrogenase	CDS	63497	64625	1	CDS_USA300_JE2_63498_64625
B7H15_00300	-	hypothetical protein	CDS	64879	65104	-1	CDS_USA300_JE2_64880_65104
B7H15_00305	-	hypothetical protein	CDS	65117	65621	-1	CDS_USA300_JE2_65118_65621
B7H15_00310	-	hypothetical protein	CDS	65636	65948	-1	CDS_USA300_JE2_65637_65948
B7H15_00315	-	hypothetical protein	CDS	66034	66385	-1	CDS_USA300_JE2_66035_66385
B7H15_00320	-	D-alanyl-D-alanine carboxypeptidase	CDS	66991	67206	-1	CDS_USA300_JE2_66992_67206
B7H15_00325	-	IS3 family transposase	CDS	67192	68193	1	CDS_USA300_JE2_67193_68193
B7H15_00330	-	carbamate kinase	CDS	68292	69222	-1	CDS_USA300_JE2_68293_69222
B7H15_00335	-	ornithine carbamoyltransferase 1, catabolic	CDS	69241	70240	-1	CDS_USA300_JE2_69242_70240
B7H15_00340	-	Crp/Fnr family transcriptional regulator	CDS	70277	70967	-1	CDS_USA300_JE2_70278_70967
B7H15_00345	-	arginine-ornithine antiporter	CDS	71008	72430	-1	CDS_USA300_JE2_71009_72430
B7H15_00350	-	arginine deiminase	CDS	72515	73751	-1	CDS_USA300_JE2_72516_73751
B7H15_00355	-	ArgR family transcriptional regulator	CDS	74019	74466	-1	CDS_USA300_JE2_74020_74466
B7H15_00360	-	universal stress protein	CDS	74967	75399	1	CDS_USA300_JE2_74968_75399
B7H15_00365	-	ATPase	CDS	75475	75628	-1	CDS_USA300_JE2_75476_75628
B7H15_00370	-	IS6 family transposase	CDS	75671	76345	1	CDS_USA300_JE2_75672_76345
B7H15_00375	-	lysophospholipase	CDS	76532	77348	1	CDS_USA300_JE2_76533_77348
B7H15_00380	-	IS110 family transposase	CDS	77648	78848	1	CDS_USA300_JE2_77649_78848
B7H15_00385	-	methyltransferase	CDS	79107	79800	1	CDS_USA300_JE2_79108_79800
B7H15_00390	-	nickel ABC transporter substrate-binding protein	CDS	79796	81350	1	CDS_USA300_JE2_79797_81350
B7H15_00395	-	peptide ABC transporter permease	CDS	81352	82309	1	CDS_USA300_JE2_81353_82309
B7H15_00400	-	hypothetical protein	CDS	82308	83076	1	CDS_USA300_JE2_82309_83076
B7H15_00405	-	ABC transporter ATP-binding protein	CDS	83042	83810	1	CDS_USA300_JE2_83043_83810
B7H15_00410	-	NAD+ synthetase	CDS	83802	84438	1	CDS_USA300_JE2_83803_84438
B7H15_00415	-	copper-translocating P-type ATPase	CDS	85457	87521	1	CDS_USA300_JE2_85458_87521
B7H15_00420	-	hypothetical protein	CDS	87538	88084	1	CDS_USA300_JE2_87539_88084
B7H15_00425	-	hypothetical protein	CDS	88511	88646	-1	CDS_USA300_JE2_88512_88646
B7H15_00430	-	hypothetical protein	CDS	88609	88702	1	CDS_USA300_JE2_88610_88702
B7H15_00435	-	TIGR04141 family sporadically distributed protein	CDS	88848	90600	1	CDS_USA300_JE2_88849_90600
B7H15_00440	-	dihydrouridine synthase	CDS	90693	91146	-1	CDS_USA300_JE2_90694_91146
B7H15_00445	-	hypothetical protein	CDS	91161	91263	-1	CDS_USA300_JE2_91162_91263
B7H15_00450	-	anion permease	CDS	91360	92116	-1	CDS_USA300_JE2_91361_92116
B7H15_00455	-	cytoplasmic protein	CDS	92115	92376	-1	CDS_USA300_JE2_92116_92376
B7H15_00460	-	dihydroneopterin aldolase	CDS	92512	93580	1	CDS_USA300_JE2_92513_93580
B7H15_00465	-	MBL fold metallo-hydrolase	CDS	93610	94945	1	CDS_USA300_JE2_93611_94945
B7H15_00470	-	oxidoreductase	CDS	94963	95218	1	CDS_USA300_JE2_94964_95218
B7H15_00475	-	FAD-dependent pyridine nucleotide-disulfide oxidoreductase	CDS	95467	96157	1	CDS_USA300_JE2_95468_96157
B7H15_00480	-	hypothetical protein	CDS	96423	96525	-1	CDS_USA300_JE2_96424_96525
B7H15_00485	-	hypothetical protein	CDS	96521	96723	-1	CDS_USA300_JE2_96522_96723
B7H15_00490	-	dihydrouridine synthase	CDS	96823	97756	-1	CDS_USA300_JE2_96824_97756
B7H15_00495	-	hypothetical protein	CDS	98118	98322	1	CDS_USA300_JE2_98119_98322
B7H15_00500	-	transcriptional regulator	CDS	98370	98667	1	CDS_USA300_JE2_98371_98667
B7H15_00505	-	MFS transporter	CDS	98738	99959	-1	CDS_USA300_JE2_98739_99959
B7H15_00510	-	flavodoxin	CDS	99951	100437	-1	CDS_USA300_JE2_99952_100437
B7H15_00515	-	LysR family transcriptional regulator	CDS	100614	101475	1	CDS_USA300_JE2_100615_101475
B7H15_00520	-	DUF4865 domain-containing protein	CDS	101829	102363	-1	CDS_USA300_JE2_101830_102363
B7H15_00525	-	LysR family transcriptional regulator	CDS	102453	103197	1	CDS_USA300_JE2_102454_103197
B7H15_00530	-	hypothetical protein	CDS	103630	104233	1	CDS_USA300_JE2_103631_104233
B7H15_00535	-	ATPase	CDS	104499	107652	1	CDS_USA300_JE2_104500_107652
B7H15_00540	-	hypothetical protein	CDS	107708	108191	1	CDS_USA300_JE2_107709_108191
B7H15_00545	-	1-phosphatidylinositol phosphodiesterase	CDS	108395	109382	1	CDS_USA300_JE2_108396_109382
B7H15_00550	-	tandem-type lipoprotein	CDS	109602	110373	1	CDS_USA300_JE2_109603_110373
B7H15_00555	-	tandem-type lipoprotein	CDS	110424	111195	1	CDS_USA300_JE2_110425_111195
B7H15_00560	-	tandem-type lipoprotein	CDS	111246	112017	1	CDS_USA300_JE2_111247_112017
B7H15_00565	-	tandem-type lipoprotein	CDS	112080	112851	1	CDS_USA300_JE2_112081_112851
B7H15_00570	-	tandem-type lipoprotein	CDS	112917	113685	1	CDS_USA300_JE2_112918_113685
B7H15_00575	-	AraC family transcriptional regulator	CDS	113817	116016	1	CDS_USA300_JE2_113818_116016
B7H15_00580	-	amidohydrolase	CDS	116166	117345	1	CDS_USA300_JE2_116167_117345
B7H15_00585	-	MFS transporter	CDS	117346	118735	1	CDS_USA300_JE2_117347_118735
B7H15_00590	-	Na/Pi cotransporter	CDS	119227	120889	-1	CDS_USA300_JE2_119228_120889
B7H15_00595	-	oleate hydratase	CDS	121214	122990	-1	CDS_USA300_JE2_121215_122990
B7H15_00600	-	EamA family transporter	CDS	123163	124036	-1	CDS_USA300_JE2_123164_124036
B7H15_00605	-	aspartate aminotransferase	CDS	124148	125546	1	CDS_USA300_JE2_124149_125546
B7H15_00610	-	hypothetical protein	CDS	125735	126209	1	CDS_USA300_JE2_125736_126209
B7H15_00615	-	L-lactate permease	CDS	126470	128063	1	CDS_USA300_JE2_126471_128063
B7H15_00620	-	peptigoglycan-binding protein LysM	CDS	128391	129918	-1	CDS_USA300_JE2_128392_129918
B7H15_00625	-	hypothetical protein	CDS	130073	130262	-1	CDS_USA300_JE2_130074_130262
B7H15_00630	-	transcriptional regulator	CDS	130338	131091	-1	CDS_USA300_JE2_130339_131091
B7H15_00635	-	iron ABC transporter permease	CDS	131459	132458	-1	CDS_USA300_JE2_131460_132458
B7H15_00640	-	iron-siderophore ABC transporter permease	CDS	132454	133450	-1	CDS_USA300_JE2_132455_133450
B7H15_00645	-	iron ABC transporter substrate-binding protein	CDS	133465	134458	-1	CDS_USA300_JE2_133466_134458
B7H15_00650	-	siderophore biosynthesis protein SbnA	CDS	134688	135669	1	CDS_USA300_JE2_134689_135669
B7H15_00655	-	2,3-diaminopropionate biosynthesis protein SbnB	CDS	135665	136676	1	CDS_USA300_JE2_135666_136676
B7H15_00660	-	siderophore biosynthesis protein SbnC	CDS	136696	138451	1	CDS_USA300_JE2_136697_138451
B7H15_00665	-	MFS transporter	CDS	138443	139700	1	CDS_USA300_JE2_138444_139700
B7H15_00670	-	siderophore biosynthesis protein SbnE	CDS	139689	141426	1	CDS_USA300_JE2_139690_141426
B7H15_00675	-	siderophore biosynthesis protein SbnF	CDS	141334	143185	1	CDS_USA300_JE2_141335_143185
B7H15_00680	-	siderophore biosynthesis protein SbnG	CDS	143159	143936	1	CDS_USA300_JE2_143160_143936
B7H15_00685	-	diaminopimelate decarboxylase	CDS	143935	145138	1	CDS_USA300_JE2_143936_145138
B7H15_00690	-	siderophore biosynthesis protein SbnI	CDS	145141	145906	1	CDS_USA300_JE2_145142_145906
B7H15_00695	-	hypothetical protein	CDS	145843	146035	-1	CDS_USA300_JE2_145844_146035
B7H15_00700	-	hypothetical protein	CDS	146101	146509	1	CDS_USA300_JE2_146102_146509
B7H15_00705	-	MFS transporter	CDS	146558	147185	1	CDS_USA300_JE2_146559_147185
B7H15_00710	-	diacetyl reductase ((S)-acetoin forming)	CDS	147396	148173	1	CDS_USA300_JE2_147397_148173
B7H15_00715	-	hypothetical protein	CDS	148316	148439	1	CDS_USA300_JE2_148317_148439
B7H15_00720	-	NAD-dependent dehydratase	CDS	148508	149489	1	CDS_USA300_JE2_148509_149489
B7H15_00725	-	UDP-phosphate N-acetylgalactosaminyl-1-phosphate transferase	CDS	149451	150144	1	CDS_USA300_JE2_149452_150144
B7H15_00730	-	glycosyltransferase family 1 protein	CDS	150353	151520	1	CDS_USA300_JE2_150354_151520
B7H15_00735	-	ligase	CDS	151500	152739	1	CDS_USA300_JE2_151501_152739
B7H15_00740	-	polysaccharide extrusion protein	CDS	152728	154159	1	CDS_USA300_JE2_152729_154159
B7H15_00745	-	Superoxide dismutase [Mn/Fe] 2	CDS	154426	155026	1	CDS_USA300_JE2_154427_155026
B7H15_00750	-	cell wall surface anchor family protein	CDS	155393	156119	1	CDS_USA300_JE2_155394_156119
B7H15_00755	-	GntR family transcriptional regulator	CDS	156310	157066	-1	CDS_USA300_JE2_156311_157066
B7H15_00760	-	purine-nucleoside phosphorylase	CDS	157301	158009	1	CDS_USA300_JE2_157302_158009
B7H15_00765	-	tetracycline efflux MFS transporter Tet(38)	CDS	158015	159368	1	CDS_USA300_JE2_158016_159368
B7H15_00770	-	2-deoxyribose-5-phosphate aldolase	CDS	159448	160111	1	CDS_USA300_JE2_159449_160111
B7H15_00775	-	phosphopentomutase	CDS	160138	161317	1	CDS_USA300_JE2_160139_161317
B7H15_00780	-	phosphonate ABC transporter, permease protein PhnE	CDS	161447	162263	-1	CDS_USA300_JE2_161448_162263
B7H15_00785	-	phosphonate ABC transporter, permease protein PhnE	CDS	162259	163060	-1	CDS_USA300_JE2_162260_163060
B7H15_00790	-	phosphonates import ATP-binding protein PhnC	CDS	163061	163835	-1	CDS_USA300_JE2_163062_163835
B7H15_00795	-	phosphonate ABC transporter substrate-binding protein	CDS	164048	165005	-1	CDS_USA300_JE2_164049_165005
B7H15_00800	-	DNA-binding protein	CDS	165233	166778	1	CDS_USA300_JE2_165234_166778
B7H15_00805	-	bifunctional metallophosphatase/5'-nucleotidase	CDS	166828	168364	1	CDS_USA300_JE2_166829_168364
B7H15_00810	-	transcriptional regulator	CDS	168447	168651	1	CDS_USA300_JE2_168448_168651
B7H15_00815	-	replication initiation protein	CDS	169023	169509	1	CDS_USA300_JE2_169024_169509
B7H15_00820	-	replication initiation protein	CDS	169493	169784	1	CDS_USA300_JE2_169494_169784
B7H15_00825	-	hypothetical protein	CDS	169867	170194	1	CDS_USA300_JE2_169868_170194
B7H15_00830	-	DUF3125 domain-containing protein	CDS	170228	170383	-1	CDS_USA300_JE2_170229_170383
B7H15_00835	-	hypothetical protein	CDS	170368	170548	1	CDS_USA300_JE2_170369_170548
B7H15_00840	-	hypothetical protein	CDS	170551	170761	1	CDS_USA300_JE2_170552_170761
B7H15_00845	-	IS200/IS605 family transposase	CDS	170760	170982	1	CDS_USA300_JE2_170761_170982
B7H15_00850	-	bifunctional acetaldehyde-CoA/alcohol dehydrogenase	CDS	171431	174041	1	CDS_USA300_JE2_171432_174041
B7H15_00855	-	capsular polysaccharide type 5 biosynthesis protein cap5A	CDS	174385	175054	1	CDS_USA300_JE2_174386_175054
B7H15_00860	-	capsular biosynthesis protein	CDS	175069	175756	1	CDS_USA300_JE2_175070_175756
B7H15_00865	-	capsular biosynthesis protein	CDS	175758	176523	1	CDS_USA300_JE2_175759_176523
B7H15_00870	-	hypothetical protein	CDS	176542	178367	1	CDS_USA300_JE2_176543_178367
B7H15_00875	-	UDP-glucose 4-epimerase	CDS	178356	179385	1	CDS_USA300_JE2_178357_179385
B7H15_00880	-	capsular biosynthesis protein	CDS	179397	180507	1	CDS_USA300_JE2_179398_180507
B7H15_00885	-	UDP-N-acetylglucosamine 2-epimerase (non-hydrolyzing)	CDS	180510	181635	1	CDS_USA300_JE2_180511_181635
B7H15_00890	-	acetyltransferase	CDS	181637	182264	1	CDS_USA300_JE2_181638_182264
B7H15_00895	-	capsular biosynthesis protein	CDS	182268	183378	1	CDS_USA300_JE2_182269_183378
B7H15_00900	-	capsular biosynthesis protein	CDS	183391	184558	1	CDS_USA300_JE2_183392_184558
B7H15_00905	-	capsular biosynthesis protein	CDS	184550	185756	1	CDS_USA300_JE2_184551_185756
B7H15_00910	-	glycosyltransferase WbuB	CDS	185756	186962	1	CDS_USA300_JE2_185757_186962
B7H15_00915	-	lipid carrier--UDP-N-acetylgalactosaminyltransferase	CDS	186972	187530	1	CDS_USA300_JE2_186973_187530
B7H15_00920	-	UDP-glucose 4-epimerase	CDS	187529	188417	1	CDS_USA300_JE2_187530_188417
B7H15_00925	-	UDP-N-acetyl-D-mannosamine dehydrogenase	CDS	188470	189733	1	CDS_USA300_JE2_188471_189733
B7H15_00930	-	UDP-N-acetylglucosamine 2-epimerase (non-hydrolyzing)	CDS	189809	190955	1	CDS_USA300_JE2_189810_190955
B7H15_00935	-	monooxygenase IsdI	CDS	191019	191346	-1	CDS_USA300_JE2_191020_191346
B7H15_00940	-	hypothetical protein	CDS	191352	191736	-1	CDS_USA300_JE2_191353_191736
B7H15_00945	-	aldehyde dehydrogenase	CDS	192162	193650	1	CDS_USA300_JE2_192163_193650
B7H15_00950	-	cation transporter	CDS	194295	195255	1	CDS_USA300_JE2_194296_195255
B7H15_00955	-	hypothetical protein	CDS	195316	195520	-1	CDS_USA300_JE2_195317_195520
B7H15_00960	-	hypothetical protein	CDS	195698	196211	1	CDS_USA300_JE2_195699_196211
B7H15_00965	-	sulfonate ABC transporter ATP-binding protein	CDS	196552	197293	1	CDS_USA300_JE2_196553_197293
B7H15_00970	-	nitrate ABC transporter substrate-binding protein	CDS	197306	198281	1	CDS_USA300_JE2_197307_198281
B7H15_00975	-	sulfonate ABC transporter permease	CDS	198277	199039	1	CDS_USA300_JE2_198278_199039
B7H15_00980	-	butyryl-CoA dehydrogenase	CDS	199051	200083	1	CDS_USA300_JE2_199052_200083
B7H15_00985	-	hypothetical protein	CDS	200299	200659	1	CDS_USA300_JE2_200300_200659
B7H15_00990	-	formate dehydrogenase	CDS	200831	201857	1	CDS_USA300_JE2_200832_201857
B7H15_00995	-	MFS transporter	CDS	202242	203493	1	CDS_USA300_JE2_202243_203493
B7H15_01000	-	non-ribosomal peptide synthetase	CDS	203939	211115	1	CDS_USA300_JE2_203940_211115
B7H15_01005	-	4'-phosphopantetheinyl transferase	CDS	211127	211772	1	CDS_USA300_JE2_211128_211772
B7H15_01010	-	hypothetical protein	CDS	212099	212579	-1	CDS_USA300_JE2_212100_212579
B7H15_01015	-	acetylglutamate kinase	CDS	212848	213613	-1	CDS_USA300_JE2_212849_213613
B7H15_01020	-	bifunctional glutamate N-acetyltransferase/amino-acid N-acetyltransferase	CDS	213628	214870	-1	CDS_USA300_JE2_213629_214870
B7H15_01025	-	N-acetyl-gamma-glutamyl-phosphate reductase	CDS	214881	215913	-1	CDS_USA300_JE2_214882_215913
B7H15_01030	-	ornithine aminotransferase 1	CDS	215951	217136	-1	CDS_USA300_JE2_215952_217136
B7H15_01035	-	branched-chain amino acid transport system II carrier protein	CDS	217388	218744	-1	CDS_USA300_JE2_217389_218744
B7H15_01040	-	isochorismatase	CDS	219019	219577	-1	CDS_USA300_JE2_219020_219577
B7H15_01045	-	indolepyruvate decarboxylase	CDS	219643	221284	-1	CDS_USA300_JE2_219644_221284
B7H15_01050	-	hypothetical protein	CDS	221477	221579	1	CDS_USA300_JE2_221478_221579
B7H15_01055	-	PTS glucose EIICBA component	CDS	221557	223603	-1	CDS_USA300_JE2_221558_223603
B7H15_01060	-	outer surface protein	CDS	224203	225244	1	CDS_USA300_JE2_224204_225244
B7H15_01065	-	N-acetylmuramic acid 6-phosphate etherase	CDS	225243	226140	1	CDS_USA300_JE2_225244_226140
B7H15_01070	-	permease	CDS	226151	227606	1	CDS_USA300_JE2_226152_227606
B7H15_01075	-	MurR/RpiR family transcriptional regulator	CDS	227608	228484	1	CDS_USA300_JE2_227609_228484
B7H15_01080	-	hypothetical protein	CDS	228677	228959	-1	CDS_USA300_JE2_228678_228959
B7H15_01085	-	type-1 restriction enzyme R protein	CDS	229171	231961	1	CDS_USA300_JE2_229172_231961
B7H15_01090	-	hypothetical protein	CDS	232165	233008	1	CDS_USA300_JE2_232166_233008
B7H15_01095	-	hypothetical protein	CDS	233009	233933	1	CDS_USA300_JE2_233010_233933
B7H15_01100	-	hypothetical protein	CDS	233919	235032	1	CDS_USA300_JE2_233920_235032
B7H15_01105	-	ABC transporter ATP-binding protein	CDS	235296	236889	-1	CDS_USA300_JE2_235297_236889
B7H15_01110	-	hypothetical protein	CDS	236845	238324	1	CDS_USA300_JE2_236846_238324
B7H15_01115	-	peptide ABC transporter permease	CDS	238329	239493	1	CDS_USA300_JE2_238330_239493
B7H15_01120	-	peptide ABC transporter substrate-binding protein	CDS	239509	241285	1	CDS_USA300_JE2_239510_241285
B7H15_01125	-	gamma-glutamyltransferase	CDS	241322	243329	1	CDS_USA300_JE2_241323_243329
B7H15_01130	-	tandem-type lipoprotein	CDS	243626	244400	-1	CDS_USA300_JE2_243627_244400
B7H15_01135	-	FMN-dependent NADH-azoreductase	CDS	244589	245216	-1	CDS_USA300_JE2_244590_245216
B7H15_01140	-	peptidase M23	CDS	245424	246003	1	CDS_USA300_JE2_245425_246003
B7H15_01145	-	sugar ABC transporter ATP-binding protein	CDS	246385	247483	1	CDS_USA300_JE2_246386_247483
B7H15_01150	-	maltose ABC transporter substrate-binding protein	CDS	247495	248767	1	CDS_USA300_JE2_247496_248767
B7H15_01155	-	maltose ABC transporter permease	CDS	248769	250038	1	CDS_USA300_JE2_248770_250038
B7H15_01160	-	maltose ABC transporter permease	CDS	250039	250879	1	CDS_USA300_JE2_250040_250879
B7H15_01165	-	oxidoreductase	CDS	250952	252029	1	CDS_USA300_JE2_250953_252029
B7H15_01170	-	dehydrogenase	CDS	252053	253094	1	CDS_USA300_JE2_252054_253094
B7H15_01175	-	xylose isomerase	CDS	253148	254117	1	CDS_USA300_JE2_253149_254117
B7H15_01180	-	hypothetical protein	CDS	254478	255051	-1	CDS_USA300_JE2_254479_255051
B7H15_01185	-	hexose phosphate transporter	CDS	255205	256585	1	CDS_USA300_JE2_255206_256585
B7H15_01190	-	DNA-binding response regulator	CDS	256943	257702	-1	CDS_USA300_JE2_256944_257702
B7H15_01195	-	sensor histidine kinase	CDS	257694	259251	-1	CDS_USA300_JE2_257695_259251
B7H15_01200	-	lipoprotein	CDS	259247	260216	-1	CDS_USA300_JE2_259248_260216
B7H15_01205	-	formate acetyltransferase	CDS	260803	263053	1	CDS_USA300_JE2_260804_263053
B7H15_01210	-	pyruvate formate-lyase-activating enzyme	CDS	263075	263831	1	CDS_USA300_JE2_263076_263831
B7H15_01215	-	hypothetical protein	CDS	263934	264129	1	CDS_USA300_JE2_263935_264129
B7H15_01220	-	glycerophosphodiester phosphodiesterase	CDS	264166	265930	1	CDS_USA300_JE2_264167_265930
B7H15_01225	-	complement inhibitor	CDS	266093	266438	-1	CDS_USA300_JE2_266094_266438
B7H15_01230	-	coagulase	CDS	266627	268457	1	CDS_USA300_JE2_266628_268457
B7H15_01235	-	hypothetical protein	CDS	268638	268746	-1	CDS_USA300_JE2_268639_268746
B7H15_01240	-	acetyl-CoA acetyltransferase	CDS	269059	270244	-1	CDS_USA300_JE2_269060_270244
B7H15_01245	-	3-hydroxyacyl-CoA dehydrogenase	CDS	270273	272535	-1	CDS_USA300_JE2_270274_272535
B7H15_01250	-	glutaryl-CoA dehydrogenase	CDS	272720	273932	-1	CDS_USA300_JE2_272721_273932
B7H15_01255	-	long-chain fatty acid--CoA ligase	CDS	274043	275549	-1	CDS_USA300_JE2_274044_275549
B7H15_01260	-	acyl CoA:acetate/3-ketoacid CoA transferase	CDS	275574	277152	-1	CDS_USA300_JE2_275575_277152
B7H15_01265	-	PrsW family intramembrane metalloprotease	CDS	277592	278735	1	CDS_USA300_JE2_277593_278735
B7H15_01270	-	nickel ABC transporter substrate-binding protein	CDS	279048	280461	-1	CDS_USA300_JE2_279049_280461
B7H15_01275	-	hypothetical protein	CDS	280721	281078	-1	CDS_USA300_JE2_280722_281078
B7H15_01280	-	hypothetical protein	CDS	281234	281408	-1	CDS_USA300_JE2_281235_281408
B7H15_01285	-	nitric oxide dioxygenase	CDS	281433	282579	-1	CDS_USA300_JE2_281434_282579
B7H15_01290	-	hypothetical protein	CDS	282733	282841	1	CDS_USA300_JE2_282734_282841
B7H15_01295	-	L-lactate dehydrogenase	CDS	283151	284105	1	CDS_USA300_JE2_283152_284105
B7H15_01300	-	hypothetical protein	CDS	284315	284459	1	CDS_USA300_JE2_284316_284459
B7H15_01305	-	PTS glucose transporter subunit IIB	CDS	284424	285954	-1	CDS_USA300_JE2_284425_285954
B7H15_01310	-	nucleoside hydrolase	CDS	286315	287251	1	CDS_USA300_JE2_286316_287251
B7H15_01315	-	hypothetical protein	CDS	287360	287459	1	CDS_USA300_JE2_287361_287459
B7H15_01320	-	transcriptional antiterminator	CDS	287589	289686	1	CDS_USA300_JE2_287590_289686
