chromosome	TU_Id_mader2016	TU_strand_mader2016	TU_start_mader2016	TU_end_mader2016	TU_length_mader2016	TU_locus_tags_mader2016	TU_gene_names_mader2016	TU_ClcortreeUA_mader2016	TU_cds_length_mader2016	locus_tags_product_gff	locus_tags_type_gff	locus_tags_start_gff	locus_tags_end_gff	locus_tags_strand_gff	locus_tags_snpEff_locus_ids	TU_promoter_Id_mader2016	TU_promoter_start_mader2016	TU_promoter_end_mader2016	TU_promoter_length_mader2016
NCTC8325	U12	1	29785	30754	970	new_29785_29976_1, SAOUHSC_00024	S10, yycJ	UA3	801	-;conserved hypothetical protein	-;CDS	-;29976	-;30777	-;1	-;CDS_NCTC8325_29977_30777	U12_promoter_200bp	29585	29785	200
NCTC8325	U13	1	30962	33304	2343	SAOUHSC_00025	adsA	UA3	2319	conserved hypothetical protein	CDS	31004	33323	1	CDS_NCTC8325_31005_33323	U13_promoter_200bp	30762	30962	200
NCTC8325	U14	1	33609	36568	2960	new_33610_33690_1, SAOUHSC_00027, new_34171_34472_1, SAOUHSC_00029, new_34566_34711_1, SAOUHSC_00030, new_36458_36606_1	S11, orfX, S12, NA, S13, NA, S14	UA9	2319	-;conserved hypothetical protein;-;conserved hypothetical protein;-;conserved hypothetical protein;-	-;CDS;-;CDS;-;CDS;-	-;33690;-;34472;-;34711;-	-;34170;-;34565;-;36457;-	-;1;-;1;-;1;-	-;CDS_NCTC8325_33691_34170;-;CDS_NCTC8325_34473_34565;-;CDS_NCTC8325_34712_36457;-	U14_promoter_200bp	33409	33609	200
NCTC8325	U15	-1	36559	38275	1717	SAOUHSC_00034, SAOUHSC_00033, new_37121_37217_-1, SAOUHSC_00032	NA, NA, S15, NA	UA10	1118	conserved hypothetical protein;conserved hypothetical protein;-;conserved hypothetical protein	CDS;CDS;-;CDS	37972;37217;-;37018	38233;37973;-;37120	-1;-1;-;-1	CDS_NCTC8325_37973_38233;CDS_NCTC8325_37218_37973;-;CDS_NCTC8325_37019_37120	U15_promoter_200bp	38275	38475	200
NCTC8325	U16	1	38336	38472	137	SAOUHSC_00035	NA	UA11	1068	conserved hypothetical protein	CDS	38369	39437	1	CDS_NCTC8325_38370_39437	U16_promoter_200bp	38136	38336	200
NCTC8325	U17	1	40733	42161	1429	SAOUHSC_00037, new_42015_42201_1	NA, S16	UA12	1194	conserved hypothetical protein;-	CDS;-	40820;-	42014;-	1;-	CDS_NCTC8325_40821_42014;-	U17_promoter_200bp	40533	40733	200
NCTC8325	U18	-1	42645	43674	1030	new_43614_43674_-1, SAOUHSC_00039	S18, dus	UA13	933	-;conserved hypothetical protein	-;CDS	-;42680	-;43613	-;-1	-;CDS_NCTC8325_42681_43613	U18_promoter_200bp	43674	43874	200
NCTC8325	U19	-1	42424	43869	1446	new_43676_43869_-1, new_43614_43674_-1, SAOUHSC_00039, new_42383_42680_-1	S19, S18, dus, S17	UA14	933	-;-;conserved hypothetical protein;-	-;-;CDS;-	-;-;42680;-	-;-;43613;-	-;-;-1;-	-;-;CDS_NCTC8325_42681_43613;-	U19_promoter_200bp	43869	44069	200
NCTC8325	U20	1	43873	44371	499	SAOUHSC_00040, SAOUHSC_00041	NA, NA	UA15	501	conserved hypothetical protein;conserved hypothetical protein	CDS;CDS	43975;44227	44179;44524	1;1	CDS_NCTC8325_43976_44179;CDS_NCTC8325_44228_44524	U20_promoter_200bp	43673	43873	200
NCTC8325	U21	1	50311	50440	130	SAOUHSC_00049	NA	UA16	3153	conserved hypothetical protein	CDS	50358	53511	1	CDS_NCTC8325_50359_53511	U21_promoter_200bp	50111	50311	200
NCTC8325	U22	1	54217	55217	1001	SAOUHSC_00051	plc	UA17	987	1-phosphatidylinositol phosphodiesterase precursor, putative	CDS	54254	55241	1	CDS_NCTC8325_54255_55241	U22_promoter_200bp	54017	54217	200
NCTC8325	U23	1	58776	61048	2273	new_58776_58854_1, SAOUHSC_00056	S23, NA	UA3	2199	-;conserved hypothetical protein	-;CDS	-;58854	-;61053	-;1	-;CDS_NCTC8325_58855_61053	U23_promoter_200bp	58576	58776	200
NCTC8325	U24	-1	58727	60971	2245	new_58617_60971_-1	S22	UA18	0	-	-	-	-	-	-	U24_promoter_200bp	60971	61171	200
NCTC8325	U25	1	61153	63887	2735	SAOUHSC_00057, SAOUHSC_00058, new_63773_63930_1	NA, norC, S24	UA12	2568	conserved hypothetical protein;conserved hypothetical protein;-	CDS;CDS;-	61203;62383;-	62382;63772;-	1;1;-	CDS_NCTC8325_61204_62382;CDS_NCTC8325_62384_63772;-	U25_promoter_200bp	60953	61153	200
NCTC8325	U27	-1	64218	65977	1760	SAOUHSC_00060	NA	UA20	1662	conserved hypothetical protein	CDS	64264	65926	-1	CDS_NCTC8325_64265_65926	U27_promoter_200bp	65977	66177	200
NCTC8325	U28	-1	66275	68073	1799	SAOUHSC_00061	NA	UA21	1776	conserved hypothetical protein	CDS	66251	68027	-1	CDS_NCTC8325_66252_68027	U28_promoter_200bp	68073	68273	200
NCTC8325	U29	1	70701	73118	2418	new_70704_70772_1, SAOUHSC_00065, new_71247_71338_1, new_71340_71507_1, SAOUHSC_00067	S26, NA, S27, S28, lctP1	UA12	2067	-;conserved hypothetical protein;-;-;L-lactate permease	-;CDS;-;-;CDS	-;70772;-;-;71507	-;71246;-;-;73100	-;1;-;-;1	-;CDS_NCTC8325_70773_71246;-;-;CDS_NCTC8325_71508_73100	U29_promoter_200bp	70501	70701	200
NCTC8325	U30	1	71340	73135	1796	new_71340_71507_1, SAOUHSC_00067	S28, lctP1	UA22	1593	-;L-lactate permease	-;CDS	-;71507	-;73100	-;1	-;CDS_NCTC8325_71508_73100	U30_promoter_200bp	71140	71340	200
NCTC8325	U31	-1	73347	75017	1671	SAOUHSC_00069	spa	UA23	1551	protein A	CDS	73428	74979	-1	CDS_NCTC8325_73429_74979	U31_promoter_200bp	75017	75217	200
NCTC8325	U32	-1	75268	76199	932	SAOUHSC_00070	sarS	UA23	753	staphylococcal accessory regulator-like protein	CDS	75399	76152	-1	CDS_NCTC8325_75400_76152	U32_promoter_200bp	76199	76399	200
NCTC8325	U33	-1	76526	76927	402	-	-	UA24	0	-	-	-	-	-	-	U33_promoter_200bp	76927	77127	200
NCTC8325	U34	-1	76509	79577	3069	new_79520_79577_-1, SAOUHSC_00074, SAOUHSC_00072, new_77436_77515_-1, SAOUHSC_00071	S31, sirA, sirB, S30, sirC	UA25	2904	-;periplasmic binding protein, putative;lipoprotein, SirB, putative;-;lipoprotein, SirC, putative	-;CDS;CDS;-;CDS	-;78526;77515;-;76520	-;79519;78511;-;77435	-;-1;-1;-;-1	-;CDS_NCTC8325_78527_79519;CDS_NCTC8325_77516_78511;-;CDS_NCTC8325_76521_77435	U34_promoter_200bp	79577	79777	200
NCTC8325	U35	1	79653	91019	11367	new_79653_79884_1, SAOUHSC_00075, SAOUHSC_00076, SAOUHSC_00077, SAOUHSC_00078, SAOUHSC_00079, SAOUHSC_00080, SAOUHSC_00081, SAOUHSC_00082, SAOUHSC_00083, new_90968_91059_1	S32, sbnA, sbnB, sbnC, sbnD, sbnE, sbnF, sbnG, sbnH, sbnI, S33	UA25	11060	-;conserved hypothetical protein;ornithine cyclodeaminase, putative;conserved hypothetical protein;conserved hypothetical protein;conserved hypothetical protein;conserved hypothetical protein;conserved hypothetical protein;conserved hypothetical protein;conserved hypothetical protein;-	-;CDS;CDS;CDS;CDS;CDS;CDS;CDS;CDS;CDS;-	-;79884;80726;81757;83504;84750;86395;88220;88996;90202;-	-;80730;81737;83512;84761;86487;88246;88997;90199;90967;-	-;1;1;1;1;1;1;1;1;1;-	-;CDS_NCTC8325_79885_80730;CDS_NCTC8325_80727_81737;CDS_NCTC8325_81758_83512;CDS_NCTC8325_83505_84761;CDS_NCTC8325_84751_86487;CDS_NCTC8325_86396_88246;CDS_NCTC8325_88221_88997;CDS_NCTC8325_88997_90199;CDS_NCTC8325_90203_90967;-	U35_promoter_200bp	79453	79653	200
NCTC8325	U37	1	92409	93229	821	SAOUHSC_00086	butA	UA27	777	3-ketoacyl-acyl carrier protein reductase, putative	CDS	92457	93234	1	CDS_NCTC8325_92458_93234	U37_promoter_200bp	92209	92409	200
NCTC8325	U38	1	99451	100080	630	SAOUHSC_00093	sodM	UA28	600	superoxide dismutase, putative	CDS	99487	100087	1	CDS_NCTC8325_99488_100087	U38_promoter_200bp	99251	99451	200
NCTC8325	U39	1	100415	101219	805	SAOUHSC_00094, new_101055_101194_1	NA, S34	UA29	600	conserved hypothetical protein;-	CDS;-	100454;-	101054;-	1;-	CDS_NCTC8325_100455_101054;-	U39_promoter_200bp	100215	100415	200
NCTC8325	U40	-1	101312	102147	836	SAOUHSC_00096	NA	UA30	756	transcriptional regulator, GntR family, putative	CDS	101369	102125	-1	CDS_NCTC8325_101370_102125	U40_promoter_200bp	102147	102347	200
NCTC8325	U41	1	103735	104449	715	-	-	UA31	0	-	-	-	-	-	-	U41_promoter_200bp	103535	103735	200
NCTC8325	U42	1	104467	106387	1921	SAOUHSC_00101	deoB	UA32	1179	phosphopentomutase	CDS	105197	106376	1	CDS_NCTC8325_105198_106376	U42_promoter_200bp	104267	104467	200
NCTC8325	U43	1	111842	111929	88	-	-	UA33	0	-	-	-	-	-	-	U43_promoter_200bp	111642	111842	200
NCTC8325	U44	1	116492	119188	2697	SAOUHSC_00113	adhE	UA34	2610	alcohol dehydrogenase, iron-containing, putative	CDS	116537	119147	1	CDS_NCTC8325_116538_119147	U44_promoter_200bp	116292	116492	200
NCTC8325	U45	1	119353	133604	14252	new_119358_119437_1, SAOUHSC_00114, SAOUHSC_00115, SAOUHSC_00116, SAOUHSC_00117, SAOUHSC_00118, SAOUHSC_00119, SAOUHSC_00120, SAOUHSC_00121, SAOUHSC_00122, SAOUHSC_00123, SAOUHSC_00124, SAOUHSC_00125, SAOUHSC_00126, SAOUHSC_00127	S37, capA, capB, capC, capD, capE, capF, capG, capH, capI, capJ, capK, capL, capM, capN	UA35	13951	-;capsular polysaccharide biosynthesis protein, putative;capsular polysaccharide synthesis enzyme Cap5B;capsular polysaccharide synthesis enzyme Cap8C;capsular polysaccharide biosynthesis protein Cap5D, putative;capsular polysaccharide biosynthesis protein Cap5E, putative;capsular polysaccharide synthesis enzyme Cap8F;UDP-N-acetylglucosamine 2-epimerase;capsular polysaccharide synthesis enzyme O-acetyl transferase Cap5H, putative;capsular polysaccharide biosynthesis protein Cap5I, putative;capsular polysaccharide biosynthesis protein Cap5J, putative;capsular polysaccharide biosynthesis protein Cap5K, putative;cap5L protein/glycosyltransferase, putative;capsular polysaccharide biosynthesis protein Cap8M;cap5N protein/UDP-glucose 4-epimerase, putative	-;CDS;CDS;CDS;CDS;CDS;CDS;CDS;CDS;CDS;CDS;CDS;CDS;CDS;CDS	-;119491;120175;120864;121648;123461;124502;125615;126742;127373;128496;129655;130861;132077;132634	-;120160;120862;121629;123472;124490;125612;126740;127369;128483;129663;130861;132067;132635;133522	-;1;1;1;1;1;1;1;1;1;1;1;1;1;1	-;CDS_NCTC8325_119492_120160;CDS_NCTC8325_120176_120862;CDS_NCTC8325_120865_121629;CDS_NCTC8325_121649_123472;CDS_NCTC8325_123462_124490;CDS_NCTC8325_124503_125612;CDS_NCTC8325_125616_126740;CDS_NCTC8325_126743_127369;CDS_NCTC8325_127374_128483;CDS_NCTC8325_128497_129663;CDS_NCTC8325_129656_130861;CDS_NCTC8325_130862_132067;CDS_NCTC8325_132078_132635;CDS_NCTC8325_132635_133522	U45_promoter_200bp	119153	119353	200
NCTC8325	U46	1	119439	136052	16614	SAOUHSC_00114, SAOUHSC_00115, SAOUHSC_00116, SAOUHSC_00117, SAOUHSC_00118, SAOUHSC_00119, SAOUHSC_00120, SAOUHSC_00121, SAOUHSC_00122, SAOUHSC_00123, SAOUHSC_00124, SAOUHSC_00125, SAOUHSC_00126, SAOUHSC_00127, SAOUHSC_00128, new_134839_134914_1, SAOUHSC_00129	capA, capB, capC, capD, capE, capF, capG, capH, capI, capJ, capK, capL, capM, capN, capO, S38, capP	UA12	16360	capsular polysaccharide biosynthesis protein, putative;capsular polysaccharide synthesis enzyme Cap5B;capsular polysaccharide synthesis enzyme Cap8C;capsular polysaccharide biosynthesis protein Cap5D, putative;capsular polysaccharide biosynthesis protein Cap5E, putative;capsular polysaccharide synthesis enzyme Cap8F;UDP-N-acetylglucosamine 2-epimerase;capsular polysaccharide synthesis enzyme O-acetyl transferase Cap5H, putative;capsular polysaccharide biosynthesis protein Cap5I, putative;capsular polysaccharide biosynthesis protein Cap5J, putative;capsular polysaccharide biosynthesis protein Cap5K, putative;cap5L protein/glycosyltransferase, putative;capsular polysaccharide biosynthesis protein Cap8M;cap5N protein/UDP-glucose 4-epimerase, putative;cap5O protein/UDP-N-acetyl-D-mannosaminuronic acid dehydrogenase;-;UDP-N-acetylglucosamine 2-epimerase	CDS;CDS;CDS;CDS;CDS;CDS;CDS;CDS;CDS;CDS;CDS;CDS;CDS;CDS;CDS;-;CDS	119491;120175;120864;121648;123461;124502;125615;126742;127373;128496;129655;130861;132077;132634;133575;-;134914	120160;120862;121629;123472;124490;125612;126740;127369;128483;129663;130861;132067;132635;133522;134838;-;136060	1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;-;1	CDS_NCTC8325_119492_120160;CDS_NCTC8325_120176_120862;CDS_NCTC8325_120865_121629;CDS_NCTC8325_121649_123472;CDS_NCTC8325_123462_124490;CDS_NCTC8325_124503_125612;CDS_NCTC8325_125616_126740;CDS_NCTC8325_126743_127369;CDS_NCTC8325_127374_128483;CDS_NCTC8325_128497_129663;CDS_NCTC8325_129656_130861;CDS_NCTC8325_130862_132067;CDS_NCTC8325_132078_132635;CDS_NCTC8325_132635_133522;CDS_NCTC8325_133576_134838;-;CDS_NCTC8325_134915_136060	U46_promoter_200bp	119239	119439	200
NCTC8325	U47	-1	136128	137051	924	new_136842_137046_-1, SAOUHSC_00131, SAOUHSC_00130	S39, NA, isdI	UA25	711	-;conserved hypothetical protein;conserved hypothetical protein	-;CDS;CDS	-;136457;136124	-;136841;136451	-;-1;-1	-;CDS_NCTC8325_136458_136841;CDS_NCTC8325_136125_136451	U47_promoter_200bp	137051	137251	200
NCTC8325	U48	1	137184	138874	1691	new_137191_137267_1, SAOUHSC_00132, new_138756_138912_1	S40, aldA, S41	UA36	1488	-;aldehyde dehydrogenase, putative;-	-;CDS;-	-;137267;-	-;138755;-	-;1;-	-;CDS_NCTC8325_137268_138755;-	U48_promoter_200bp	136984	137184	200
NCTC8325	U49	1	139248	140353	1106	new_139248_139400_1, SAOUHSC_00133	S43, NA	UA12	960	-;conserved hypothetical protein	-;CDS	-;139400	-;140360	-;1	-;CDS_NCTC8325_139401_140360	U49_promoter_200bp	139048	139248	200
NCTC8325	U50	-1	138967	140667	1701	SAOUHSC_00134, new_138934_140421_-1	NA, S42	UA12	204	conserved hypothetical protein;-	CDS;-	140421;-	140625;-	-1;-	CDS_NCTC8325_140422_140625;-	U50_promoter_200bp	140667	140867	200
NCTC8325	U51	1	140764	145759	4996	SAOUHSC_00135, new_141317_141657_1, SAOUHSC_00136, SAOUHSC_00137, SAOUHSC_00138, SAOUHSC_00139, new_145189_145358_1, SAOUHSC_00141	NA, S44, NA, NA, NA, NA, S45, NA	UA37	4379	conserved hypothetical protein;-;conserved hypothetical protein;conserved hypothetical protein;conserved hypothetical protein;conserved hypothetical protein;-;conserved hypothetical protein	CDS;-;CDS;CDS;CDS;CDS;-;CDS	140803;-;141657;142411;143382;144156;-;145404	141316;-;142398;143386;144144;145188;-;145764	1;-;1;1;1;1;-;1	CDS_NCTC8325_140804_141316;-;CDS_NCTC8325_141658_142398;CDS_NCTC8325_142412_143386;CDS_NCTC8325_143383_144144;CDS_NCTC8325_144157_145188;-;CDS_NCTC8325_145405_145764	U51_promoter_200bp	140564	140764	200
NCTC8325	U52	1	145360	147000	1641	SAOUHSC_00141, new_145805_145936_1, SAOUHSC_00142	NA, S46, fdh	UA38	1386	conserved hypothetical protein;-;formate dehydrogenase, NAD-dependent, putative	CDS;-;CDS	145404;-;145936	145764;-;146962	1;-;1	CDS_NCTC8325_145405_145764;-;CDS_NCTC8325_145937_146962	U52_promoter_200bp	145160	145360	200
NCTC8325	U54	-1	145512	145784	273	-	-	UA40	0	-	-	-	-	-	-	U54_promoter_200bp	145784	145984	200
NCTC8325	U55	1	147160	156860	9701	new_147204_147347_1, SAOUHSC_00143, new_148599_149044_1, SAOUHSC_00144, SAOUHSC_00145	S48, lmrP, S49, NA, NA	UA41	9072	-;conserved hypothetical protein;-;conserved hypothetical protein;conserved hypothetical protein	-;CDS;-;CDS;CDS	-;147347;-;149044;156232	-;148598;-;156220;156877	-;1;-;1;1	-;CDS_NCTC8325_147348_148598;-;CDS_NCTC8325_149045_156220;CDS_NCTC8325_156233_156877	U55_promoter_200bp	146960	147160	200
NCTC8325	U56	1	147204	156860	9657	new_147204_147347_1, SAOUHSC_00143, new_148599_149044_1, SAOUHSC_00144, SAOUHSC_00145	S48, lmrP, S49, NA, NA	UA42	9072	-;conserved hypothetical protein;-;conserved hypothetical protein;conserved hypothetical protein	-;CDS;-;CDS;CDS	-;147347;-;149044;156232	-;148598;-;156220;156877	-;1;-;1;1	-;CDS_NCTC8325_147348_148598;-;CDS_NCTC8325_149045_156220;CDS_NCTC8325_156233_156877	U56_promoter_200bp	147004	147204	200
NCTC8325	U57	-1	157208	157739	532	SAOUHSC_00146	NA	UA43	480	conserved hypothetical protein	CDS	157204	157684	-1	CDS_NCTC8325_157205_157684	U57_promoter_200bp	157739	157939	200
NCTC8325	U58	-1	157752	157837	86	-	-	UA44	0	-	-	-	-	-	-	U58_promoter_200bp	157837	158037	200
NCTC8325	U59	-1	162512	163904	1393	SAOUHSC_00151	brnQ1	UA3	1356	branched-chain amino acid transport system II carrier protein	CDS	162493	163849	-1	CDS_NCTC8325_162494_163849	U59_promoter_200bp	163904	164104	200
NCTC8325	U60	-1	163991	166427	2437	SAOUHSC_00153, new_164623_164748_-1, SAOUHSC_00152	ipdC, S50, entB	UA45	2139	indolepyruvate decarboxylase, putative;-;conserved hypothetical protein	CDS;-;CDS	164748;-;164124	166389;-;164622	-1;-;-1	CDS_NCTC8325_164749_166389;-;CDS_NCTC8325_164125_164622	U60_promoter_200bp	166427	166627	200
NCTC8325	U61	-1	166711	168955	2245	new_168661_168955_-1, SAOUHSC_00155	S51, ptsG	UA3	1998	-;PTS system, glucose-specific component	-;CDS	-;166662	-;168660	-;-1	-;CDS_NCTC8325_166663_168660	U61_promoter_200bp	168955	169155	200
NCTC8325	U62	1	169226	173724	4499	new_169226_169308_1, SAOUHSC_00156, SAOUHSC_00157, SAOUHSC_00158, SAOUHSC_00160, new_173590_173751_1	S52, NA, murQ, murP, NA, S53	UA36	4268	-;conserved hypothetical protein;conserved hypothetical protein;PTS system component;conserved hypothetical protein;-	-;CDS;CDS;CDS;CDS;-	-;169308;170348;171256;172713;-	-;170349;171245;172711;173589;-	-;1;1;1;1;-	-;CDS_NCTC8325_169309_170349;CDS_NCTC8325_170349_171245;CDS_NCTC8325_171257_172711;CDS_NCTC8325_172714_173589;-	U62_promoter_200bp	169026	169226	200
NCTC8325	U63	1	174239	177056	2818	SAOUHSC_00162	hsdR	UA16	2790	type I site-specific deoxyribonuclease, HsdR family, putative	CDS	174276	177066	1	CDS_NCTC8325_174277_177066	U63_promoter_200bp	174039	174239	200
NCTC8325	U64	1	177210	180116	2907	SAOUHSC_00163, SAOUHSC_00164, SAOUHSC_00166	NA, NA, NA	UA46	2866	conserved hypothetical protein;conserved hypothetical protein;conserved hypothetical protein	CDS;CDS;CDS	177270;178114;179024	178113;179038;180137	1;1;1	CDS_NCTC8325_177271_178113;CDS_NCTC8325_178115_179038;CDS_NCTC8325_179025_180137	U64_promoter_200bp	177010	177210	200
NCTC8325	U65	1	182037	188548	6512	SAOUHSC_00169, SAOUHSC_00170, SAOUHSC_00171, new_188435_188581_1	NA, rlp, ggt, S55	UA47	4947	peptide ABC transporter, permease protein, putative;conserved hypothetical protein;gamma-glutamyltranspeptidase, putative;-	CDS;CDS;CDS;-	183434;184614;186427;-	184598;186390;188434;-	1;1;1;-	CDS_NCTC8325_183435_184598;CDS_NCTC8325_184615_186390;CDS_NCTC8325_186428_188434;-	U65_promoter_200bp	181837	182037	200
NCTC8325	U66	-1	180226	182058	1833	SAOUHSC_00167, new_180199_180401_-1	NA, S54	UA37	1593	peptide ABC transporter, ATP-binding protein, putative;-	CDS;-	180401;-	181994;-	-1;-	CDS_NCTC8325_180402_181994;-	U66_promoter_200bp	182058	182258	200
NCTC8325	U68	-1	189712	190377	666	SAOUHSC_00173	acpD	UA48	627	acyl carrier phosphodiesterase	CDS	189694	190321	-1	CDS_NCTC8325_189695_190321	U68_promoter_200bp	190377	190577	200
NCTC8325	U69	1	190486	191115	630	SAOUHSC_00174	NA	UA49	579	M23/M37 peptidase domain protein	CDS	190529	191108	1	CDS_NCTC8325_190530_191108	U69_promoter_200bp	190286	190486	200
NCTC8325	U70	-1	199589	200149	561	SAOUHSC_00182	NA	UA20	573	conserved hypothetical protein	CDS	199582	200155	-1	CDS_NCTC8325_199583_200155	U70_promoter_200bp	200149	200349	200
NCTC8325	U71	1	200278	201927	1650	SAOUHSC_00183, new_201740_201913_1	uhpT, S58	UA50	1380	membrane protein, putative;-	CDS;-	200309;-	201689;-	1;-	CDS_NCTC8325_200310_201689;-	U71_promoter_200bp	200078	200278	200
NCTC8325	U72	1	201740	201927	188	new_201740_201913_1	S58	UA50	0	-	-	-	-	-	-	U72_promoter_200bp	201540	201740	200
NCTC8325	U73	-1	204842	205356	515	SAOUHSC_00186	NA	UA3	969	lipoprotein, putative	CDS	204351	205320	-1	CDS_NCTC8325_204352_205320	U73_promoter_200bp	205356	205556	200
NCTC8325	U74	1	205838	208931	3094	new_205837_205907_1, SAOUHSC_00187, SAOUHSC_00188	S59, pflB, pflA	UA43	3006	-;formate acetyltransferase;pyruvate formate-lyase 1 activating enzyme, putative	-;CDS;CDS	-;205907;208179	-;208157;208935	-;1;1	-;CDS_NCTC8325_205908_208157;CDS_NCTC8325_208180_208935	U74_promoter_200bp	205638	205838	200
NCTC8325	U75	1	209236	209339	104	SAOUHSC_00190	NA	UA3	1764	conserved hypothetical protein	CDS	209270	211034	1	CDS_NCTC8325_209271_211034	U75_promoter_200bp	209036	209236	200
NCTC8325	U76	-1	211132	211591	460	SAOUHSC_00191, new_211095_211197_-1	NA, S60	UA51	345	conserved hypothetical protein;-	CDS;-	211197;-	211542;-	-1;-	CDS_NCTC8325_211198_211542;-	U76_promoter_200bp	211591	211791	200
NCTC8325	U77	1	211692	213810	2119	SAOUHSC_00192, new_213643_213850_1	coa, S62	UA20	1911	coagulase;-	CDS;-	211731;-	213642;-	1;-	CDS_NCTC8325_211732_213642;-	U77_promoter_200bp	211492	211692	200
